"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2019","Black","West Virginia","18**","62,703","28.71**","26.69**","622"
"2019","Black","Wisconsin","104","373,161","27.87","28.04","3,453"
"2019","Black","Wyoming","--","6,070","--","--","--"
"2019","American Indian / Alaska Native","Alabama","--","27,167","--","--","--"
"2019","American Indian / Alaska Native","Alaska","49","107,833","45.44","47.43","1,602"
"2019","American Indian / Alaska Native","Arizona","35","283,964","12.33","11.91","1,104"
"2019","American Indian / Alaska Native","Arkansas","--","23,055","--","--","--"
"2019","American Indian / Alaska Native","California","14**","162,522","8.61**","8.95**","483"
"2019","American Indian / Alaska Native","Colorado","--","36,631","--","--","--"
"2019","American Indian / Alaska Native","Connecticut","0**","7,942","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Delaware","0**","2,982","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","District of Columbia","0**","1,454","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Florida","--","54,030","--","--","--"
"2019","American Indian / Alaska Native","Georgia","--","24,187","--","--","--"
"2019","American Indian / Alaska Native","Hawaii","0**","2,910","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Idaho","--","19,076","--","--","--"
"2019","American Indian / Alaska Native","Illinois","0**","19,571","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Indiana","--","15,415","--","--","--"
"2019","American Indian / Alaska Native","Iowa","--","9,449","--","--","--"
"2019","American Indian / Alaska Native","Kansas","--","22,851","--","--","--"
"2019","American Indian / Alaska Native","Kentucky","--","9,115","--","--","--"
"2019","American Indian / Alaska Native","Louisiana","--","29,953","--","--","--"
"2019","American Indian / Alaska Native","Maine","0**","8,726","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Maryland","--","14,675","--","--","--"
"2019","American Indian / Alaska Native","Massachusetts","0**","12,437","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Michigan","--","56,565","--","--","--"
"2019","American Indian / Alaska Native","Minnesota","15**","59,238","25.32**","23.73**","524"
"2019","American Indian / Alaska Native","Mississippi","0**","14,783","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","Missouri","--","26,379","--","--","--"
"2019","American Indian / Alaska Native","Montana","14**","64,637","21.66**","22.50**","520"
"2019","American Indian / Alaska Native","Nebraska","--","15,990","--","--","--"
"2019","American Indian / Alaska Native","Nevada","--","26,015","--","--","--"
"2019","American Indian / Alaska Native","New Hampshire","0**","2,858","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","New Jersey","0**","13,652","0.00**","0.00**","--"
"2019","American Indian / Alaska Native","New Mexico","27","183,249","14.73","15.17","789"
"2019","American Indian / Alaska Native","New York","--","57,994","--","--","--"
"2019","American Indian / Alaska Native","North Carolina","20**","116,299","17.20**","16.39**","596"
"2019","American Indian / Alaska Native","North Dakota","--","39,084","--","--","--"
"2019","American Indian / Alaska Native","Ohio","--","22,430","--","--","--"
"2019","American Indian / Alaska Native","Oklahoma","48","336,825","14.25","14.92","1,284"
"2019","American Indian / Alaska Native","Oregon","--","46,116","--","--","--"
"2019","American Indian / Alaska Native","Pennsylvania","--","18,515","--","--","--"
"2019","American Indian / Alaska Native","Rhode Island","--","4,519","--","--","--"
"2019","American Indian / Alaska Native","South Carolina","--","18,688","--","--","--"
"2019","American Indian / Alaska Native","South Dakota","--","73,240","--","--","--"
"2019","American Indian / Alaska Native","Tennessee","--","19,172","--","--","--"
