"Year","State","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2019","Nebraska","Metro","13**","46,492","27.96**","24.09**","521"
"2019","Nebraska","Non-Metro","--","5,653","--","--","--"
"2019","Nevada","Metro","28","154,047","18.18","18.05","909"
"2019","Nevada","Non-Metro","0**","3,772","0.00**","0.00**","--"
"2019","New Hampshire","Metro","0**","10,614","0.00**","0.00**","--"
"2019","New Hampshire","Non-Metro","0**","3,306","0.00**","0.00**","--"
"2019","New Jersey","Metro","146","639,479","22.83","21.62","5,167"
"2019","New Mexico","Metro","--","20,808","--","--","--"
"2019","New Mexico","Non-Metro","--","9,650","--","--","--"
"2019","New York","Metro","200","1,569,913","12.74","12.13","6,932"
"2019","New York","Non-Metro","--","32,829","--","--","--"
"2019","North Carolina","Metro","261","860,936","30.32","28.61","9,181"
"2019","North Carolina","Non-Metro","84","233,349","36.00","36.59","2,851"
"2019","North Dakota","Metro","0**","9,472","0.00**","0.00**","--"
"2019","North Dakota","Non-Metro","0**","5,382","0.00**","0.00**","--"
"2019","Ohio","Metro","352","701,114","50.21","48.37","12,415"
"2019","Ohio","Non-Metro","--","32,529","--","--","--"
"2019","Oklahoma","Metro","75","127,753","58.71","57.73","2,449"
"2019","Oklahoma","Non-Metro","--","26,616","--","--","--"
"2019","Oregon","Metro","--","46,947","--","--","--"
"2019","Oregon","Non-Metro","0**","3,462","0.00**","0.00**","--"
"2019","Pennsylvania","Metro","359","718,573","49.96","47.42","12,560"
"2019","Pennsylvania","Non-Metro","--","27,581","--","--","--"
"2019","Rhode Island","Metro","--","45,015","--","--","--"
"2019","South Carolina","Metro","215","513,254","41.89","40.53","7,429"
"2019","South Carolina","Non-Metro","68","136,452","49.83","49.17","2,409"
"2019","South Dakota","Metro","--","9,098","--","--","--"
"2019","South Dakota","Non-Metro","0**","3,103","0.00**","0.00**","--"
"2019","Tennessee","Metro","266","500,053","53.19","50.53","9,429"
"2019","Tennessee","Non-Metro","11**","50,408","21.82**","18.57**","381"
"2019","Texas","Metro","469","1,682,124","27.88","26.24","16,022"
"2019","Texas","Non-Metro","22","139,586","15.76","13.18","787"
"2019","Utah","Metro","--","24,851","--","--","--"
"2019","Utah","Non-Metro","0**","1,511","0.00**","0.00**","--"
"2019","Vermont","Metro","--","2,537","--","--","--"
"2019","Vermont","Non-Metro","0**","2,481","0.00**","0.00**","--"
"2019","Virginia","Metro","190","719,171","26.42","25.02","6,593"
"2019","Virginia","Non-Metro","20**","99,450","20.11**","21.76**","752"
"2019","Washington","Metro","37","171,895","21.53","19.66","1,281"
"2019","Washington","Non-Metro","0**","7,487","0.00**","0.00**","--"
"2019","West Virginia","Metro","--","26,643","--","--","--"
"2019","West Virginia","Non-Metro","--","8,463","--","--","--"
"2019","Wisconsin","Metro","71","181,231","39.18","39.90","2,340"
"2019","Wisconsin","Non-Metro","0**","12,193","0.00**","0.00**","--"
"2019","Wyoming","Metro","--","2,065","--","--","--"
"2019","Wyoming","Non-Metro","0**","2,159","0.00**","0.00**","--"
"2018","Alabama","Metro","240","482,462","49.75","46.86","8,224"
"2018","Alabama","Non-Metro","53","127,215","41.66","44.08","1,804"
"2018","Alaska","Metro","--","13,250","--","--","--"
"2018","Alaska","Non-Metro","0**","2,156","0.00**","0.00**","--"
"2018","Arizona","Metro","47","187,243","25.10","22.65","1,609"
"2018","Arizona","Non-Metro","0**","2,108","0.00**","0.00**","--"
"2018","Arkansas","Metro","75","148,940","50.36","46.80","2,501"
"2018","Arkansas","Non-Metro","35","76,266","45.89","49.12","1,038"
"2018","California","Metro","284","1,257,083","22.59","20.90","9,203"
"2018","California","Non-Metro","--","9,958","--","--","--"
"2018","Colorado","Metro","41","129,676","31.62","27.95","1,497"
"2018","Colorado","Non-Metro","0**","8,916","0.00**","0.00**","--"
"2018","Connecticut","Metro","30","203,306","14.76","13.68","1,088"
"2018","Connecticut","Non-Metro","0**","2,236","0.00**","0.00**","--"
"2018","Delaware","Metro","32","104,889","30.51","31.23","1,129"
"2018","District of Columbia","Metro","101","149,405","67.60","65.62","3,672"
"2018","Florida","Metro","480","1,672,218","28.70","27.00","16,319"
"2018","Florida","Non-Metro","11**","64,040","17.18**","17.66**","388"
"2018","Georgia","Metro","356","1,367,188","26.04","24.97","12,241"
"2018","Georgia","Non-Metro","52","228,438","22.76","21.36","1,737"
"2018","Hawaii","Metro","0**","17,440","0.00**","0.00**","--"
"2018","Hawaii","Non-Metro","0**","1,202","0.00**","0.00**","--"
"2018","Idaho","Metro","0**","6,162","0.00**","0.00**","--"
"2018","Idaho","Non-Metro","0**","2,596","0.00**","0.00**","--"
"2018","Illinois","Metro","567","839,614","67.53","64.65","20,378"
"2018","Illinois","Non-Metro","--","37,673","--","--","--"
"2018","Indiana","Metro","195","305,635","63.80","60.01","6,948"
"2018","Indiana","Non-Metro","--","14,562","--","--","--"
"2018","Iowa","Metro","--","53,040","--","--","--"
"2018","Iowa","Non-Metro","--","13,738","--","--","--"
"2018","Kansas","Metro","37","77,105","47.99","47.04","1,250"
"2018","Kansas","Non-Metro","--","15,581","--","--","--"
"2018","Kentucky","Metro","65","151,135","43.01","40.25","2,280"
"2018","Kentucky","Non-Metro","--","35,256","--","--","--"
"2018","Louisiana","Metro","327","606,950","53.88","52.30","11,279"
"2018","Louisiana","Non-Metro","34","118,943","28.59","24.87","1,203"
"2018","Maine","Metro","--","9,772","--","--","--"
"2018","Maine","Non-Metro","0**","2,374","0.00**","0.00**","--"
"2018","Maryland","Metro","333","864,742","38.51","36.98","11,114"
"2018","Maryland","Non-Metro","--","10,262","--","--","--"
"2018","Massachusetts","Metro","55","297,374","18.50","15.62","1,951"
"2018","Massachusetts","Non-Metro","0**","1,684","0.00**","0.00**","--"
"2018","Michigan","Metro","319","645,917","49.39","48.72","10,817"
"2018","Michigan","Non-Metro","--","23,161","--","--","--"
"2018","Minnesota","Metro","31","184,097","16.84","15.42","1,187"
"2018","Minnesota","Non-Metro","0**","12,337","0.00**","0.00**","--"
"2018","Mississippi","Metro","105","237,637","44.19","42.41","3,503"
"2018","Mississippi","Non-Metro","108","293,312","36.82","36.25","3,711"
"2018","Missouri","Metro","308","313,156","98.35","95.72","10,502"
"2018","Missouri","Non-Metro","--","31,629","--","--","--"
"2018","Montana","Metro","0**","2,016","0.00**","0.00**","--"
"2018","Montana","Non-Metro","0**","1,711","0.00**","0.00**","--"
"2018","Nebraska","Metro","--","45,895","--","--","--"
"2018","Nebraska","Non-Metro","0**","5,438","0.00**","0.00**","--"
"2018","Nevada","Metro","53","148,820","35.61","34.59","1,794"
"2018","Nevada","Non-Metro","0**","3,676","0.00**","0.00**","--"
"2018","New Hampshire","Metro","0**","10,062","0.00**","0.00**","--"
"2018","New Hampshire","Non-Metro","0**","3,206","0.00**","0.00**","--"
"2018","New Jersey","Metro","149","635,090","23.46","22.19","5,140"
"2018","New Mexico","Metro","--","20,273","--","--","--"
"2018","New Mexico","Non-Metro","--","9,382","--","--","--"
"2018","New York","Metro","204","1,574,312","12.96","12.11","7,242"
"2018","New York","Non-Metro","--","33,190","--","--","--"
"2018","North Carolina","Metro","198","847,953","23.35","21.99","7,011"
"2018","North Carolina","Non-Metro","86","234,919","36.61","36.66","2,920"
"2018","North Dakota","Metro","0**","9,442","0.00**","0.00**","--"
"2018","North Dakota","Non-Metro","0**","5,054","0.00**","0.00**","--"
"2018","Ohio","Metro","323","695,634","46.43","45.90","10,694"
"2018","Ohio","Non-Metro","--","32,287","--","--","--"
"2018","Oklahoma","Metro","47","126,644","37.11","34.28","1,527"
"2018","Oklahoma","Non-Metro","10**","26,525","37.70**","36.76**","281"
"2018","Oregon","Metro","--","45,862","--","--","--"
"2018","Oregon","Non-Metro","--","3,351","--","--","--"
"2018","Pennsylvania","Metro","358","713,862","50.15","46.23","12,776"
"2018","Pennsylvania","Non-Metro","--","28,145","--","--","--"
"2018","Rhode Island","Metro","--","44,250","--","--","--"
"2018","South Carolina","Metro","175","507,742","34.47","33.76","5,958"
"2018","South Carolina","Non-Metro","53","138,289","38.33","37.76","1,945"
"2018","South Dakota","Metro","--","8,722","--","--","--"
"2018","South Dakota","Non-Metro","0**","2,995","0.00**","0.00**","--"
"2018","Tennessee","Metro","278","497,027","55.93","52.16","10,013"
"2018","Tennessee","Non-Metro","12**","50,363","23.83**","24.27**","411"
"2018","Texas","Metro","398","1,646,983","24.17","22.40","13,474"
"2018","Texas","Non-Metro","16**","139,604","11.46**","9.88**","558"
"2018","Utah","Metro","--","23,923","--","--","--"
"2018","Utah","Non-Metro","0**","1,471","0.00**","0.00**","--"
"2018","Vermont","Metro","0**","2,462","0.00**","0.00**","--"
"2018","Vermont","Non-Metro","0**","2,358","0.00**","0.00**","--"
"2018","Virginia","Metro","174","712,891","24.41","23.23","6,013"
"2018","Virginia","Non-Metro","18**","99,640","18.07**","17.16**","551"
"2018","Washington","Metro","28","166,749","16.79","14.73","1,027"
"2018","Washington","Non-Metro","0**","7,221","0.00**","0.00**","--"
"2018","West Virginia","Metro","--","26,562","--","--","--"
"2018","West Virginia","Non-Metro","--","8,447","--","--","--"
"2018","Wisconsin","Metro","82","180,588","45.41","45.15","2,874"
"2018","Wisconsin","Non-Metro","--","11,943","--","--","--"
"2018","Wyoming","Metro","0**","2,117","0.00**","0.00**","--"
"2018","Wyoming","Non-Metro","0**","2,152","0.00**","0.00**","--"
"Total","","","36,597","85,506,014","42.80","40.48","1,265,227"
"","","","","","","",""
"Injury Outcome: Fatal","","","","","","",""
"Injury Type: All Injury","","","","","","",""
"Data Years: 2018 to 2021","","","","","","",""
"Geography: United States","","","","","","",""
"Intent: Homicide","","","","","","",""
"Mechanism: Firearm","","","","","","",""
"Age: All Ages","","","","","","",""
"Sex: Males","","","","","","",""
"Race: Black","","","","","","",""
"Ethnicity: All Ethnicities","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","",""
"YPLL Age: 65","","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","",""
