"Year","Intent","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Suicide","Males","Colorado","608","2,964,544","20.51","19.47","12,097"
"2022","Suicide","Males","Connecticut","122","1,776,254","6.87","6.56","1,965"
"2022","Suicide","Males","Delaware","63","494,520","12.74","11.12","846"
"2022","Suicide","Males","District of Columbia","11**","319,682","3.44**","3.28**","247"
"2022","Suicide","Males","Florida","1,678","10,945,426","15.33","13.24","23,516"
"2022","Suicide","Males","Georgia","885","5,330,652","16.60","16.46","17,694"
"2022","Suicide","Males","Hawaii","41","724,711","5.66","5.25","601"
"2022","Suicide","Males","Idaho","247","977,139","25.28","24.35","4,526"
"2022","Suicide","Males","Illinois","594","6,228,734","9.54","9.03","10,337"
"2022","Suicide","Males","Indiana","602","3,395,488","17.73","16.94","10,597"
"2022","Suicide","Males","Iowa","264","1,606,737","16.43","15.73","4,651"
"2022","Suicide","Males","Kansas","308","1,475,455","20.88","20.51","6,403"
"2022","Suicide","Males","Kentucky","457","2,240,509","20.40","20.20","8,596"
"2022","Suicide","Males","Louisiana","411","2,247,370","18.29","17.74","7,724"
"2022","Suicide","Males","Maine","138","683,232","20.20","17.69","1,895"
"2022","Suicide","Males","Maryland","244","3,001,909","8.13","7.70","4,184"
"2022","Suicide","Males","Massachusetts","141","3,417,950","4.13","3.85","2,784"
"2022","Suicide","Males","Michigan","717","4,982,544","14.39","13.66","12,211"
"2022","Suicide","Males","Minnesota","355","2,871,216","12.36","11.84","6,436"
"2022","Suicide","Males","Mississippi","238","1,428,776","16.66","16.51","4,306"
"2022","Suicide","Males","Missouri","701","3,054,821","22.95","22.11","12,803"
"2022","Suicide","Males","Montana","200","569,846","35.10","33.55","3,765"
"2022","Suicide","Males","Nebraska","165","990,672","16.66","16.24","3,333"
"2022","Suicide","Males","Nevada","351","1,603,852","21.89","20.96","5,789"
"2022","Suicide","Males","New Hampshire","118","697,809","16.91","14.84","1,854"
"2022","Suicide","Males","New Jersey","208","4,565,014","4.56","4.18","3,017"
"2022","Suicide","Males","New Mexico","266","1,053,151","25.26","24.14","5,166"
"2022","Suicide","Males","New York","458","9,626,210","4.76","4.43","7,165"
"2022","Suicide","Males","North Carolina","838","5,239,829","15.99","15.06","14,772"
"2022","Suicide","Males","North Dakota","96","400,463","23.97","23.80","1,992"
"2022","Suicide","Males","Ohio","915","5,809,684","15.75","15.07","16,945"
"2022","Suicide","Males","Oklahoma","462","2,004,482","23.05","22.67","8,305"
"2022","Suicide","Males","Oregon","411","2,117,172","19.41","17.72","6,508"
"2022","Suicide","Males","Pennsylvania","930","6,405,343","14.52","13.37","14,885"
"2022","Suicide","Males","Rhode Island","22","536,995","4.10","3.42","294"
"2022","Suicide","Males","South Carolina","476","2,572,119","18.51","17.37","7,954"
"2022","Suicide","Males","South Dakota","85","462,723","18.37","17.75","1,914"
"2022","Suicide","Males","Tennessee","719","3,462,358","20.77","19.44","12,324"
"2022","Suicide","Males","Texas","2,285","15,019,450","15.21","15.31","47,563"
"2022","Suicide","Males","Utah","343","1,716,831","19.98","21.05","7,288"
"2022","Suicide","Males","Vermont","62","322,025","19.25","17.35","911"
"2022","Suicide","Males","Virginia","639","4,299,114","14.86","14.16","12,026"
"2022","Suicide","Males","Washington","587","3,928,342","14.94","13.88","9,528"
"2022","Suicide","Males","West Virginia","203","886,306","22.90","19.83","2,828"
"2022","Suicide","Males","Wisconsin","467","2,955,306","15.80","14.90","8,442"
"2022","Suicide","Males","Wyoming","98","297,954","32.89","31.02","2,052"
