"Year","Intent","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2017","Homicide","Maryland","454","6,028,186","7.53","7.89","15,542"
"2017","Homicide","Massachusetts","103","6,863,560","1.50","1.58","3,724"
"2017","Homicide","Michigan","438","9,976,752","4.39","4.64","13,978"
"2017","Homicide","Minnesota","78","5,569,283","1.40","1.47","2,501"
"2017","Homicide","Mississippi","295","2,990,674","9.86","10.35","9,035"
"2017","Homicide","Missouri","564","6,111,382","9.23","9.71","18,075"
"2017","Homicide","Montana","21","1,053,862","1.99","2.18","547"
"2017","Homicide","Nebraska","29","1,916,998","1.51","1.59","923"
"2017","Homicide","Nevada","153","2,972,097","5.15","5.41","4,855"
"2017","Homicide","New Hampshire","--","1,350,395","--","--","--"
"2017","Homicide","New Jersey","261","8,888,147","2.94","3.14","8,798"
"2017","Homicide","New Mexico","101","2,092,844","4.83","5.17","3,145"
"2017","Homicide","New York","312","19,593,849","1.59","1.62","10,319"
"2017","Homicide","North Carolina","522","10,275,758","5.08","5.24","16,183"
"2017","Homicide","North Dakota","--","756,755","--","--","--"
"2017","Homicide","Ohio","621","11,665,706","5.32","5.68","20,642"
"2017","Homicide","Oklahoma","228","3,933,602","5.80","6.15","7,169"
"2017","Homicide","Oregon","73","4,147,294","1.76","1.85","2,018"
"2017","Homicide","Pennsylvania","602","12,794,679","4.71","5.03","20,567"
"2017","Homicide","Rhode Island","10**","1,056,554","0.95**","0.98**","362"
"2017","Homicide","South Carolina","338","5,027,102","6.72","7.10","10,550"
"2017","Homicide","South Dakota","11**","873,732","1.26**","1.46**","409"
"2017","Homicide","Tennessee","467","6,714,748","6.96","7.39","15,267"
"2017","Homicide","Texas","1,254","28,291,024","4.43","4.40","39,519"
"2017","Homicide","Utah","53","3,103,540","1.71","1.72","1,796"
"2017","Homicide","Vermont","--","625,132","--","--","--"
"2017","Homicide","Virginia","345","8,471,011","4.07","4.05","11,001"
"2017","Homicide","Washington","165","7,427,951","2.22","2.26","5,283"
"2017","Homicide","West Virginia","69","1,818,683","3.79","4.09","1,699"
"2017","Homicide","Wisconsin","159","5,793,147","2.75","2.91","5,181"
"2017","Homicide","Wyoming","--","579,994","--","--","--"
"2017","Legal Intervention","Alabama","--","4,877,989","--","--","--"
"2017","Legal Intervention","Alaska","--","740,983","--","--","--"
"2017","Legal Intervention","Arizona","10**","7,048,088","0.14**","0.16**","255"
"2017","Legal Intervention","Arkansas","--","3,003,855","--","--","--"
"2017","Legal Intervention","California","86","39,337,785","0.22","0.22","2,618"
"2017","Legal Intervention","Colorado","19**","5,617,421","0.34**","0.34**","544"
"2017","Legal Intervention","Connecticut","--","3,575,324","--","--","--"
"2017","Legal Intervention","Delaware","--","957,942","--","--","--"
"2017","Legal Intervention","District of Columbia","--","697,079","--","--","--"
"2017","Legal Intervention","Florida","18**","20,977,089","0.09**","0.09**","497"
"2017","Legal Intervention","Georgia","20**","10,417,031","0.19**","0.20**","555"
"2017","Legal Intervention","Hawaii","--","1,425,763","--","--","--"
"2017","Legal Intervention","Idaho","--","1,719,745","--","--","--"
"2017","Legal Intervention","Illinois","10**","12,779,893","0.08**","0.08**","313"
"2017","Legal Intervention","Indiana","13**","6,662,068","0.20**","0.21**","344"
"2017","Legal Intervention","Iowa","--","3,143,734","--","--","--"
"2017","Legal Intervention","Kansas","--","2,910,892","--","--","--"
"2017","Legal Intervention","Kentucky","12**","4,455,590","0.27**","0.28**","322"
"2017","Legal Intervention","Louisiana","11**","4,673,673","0.24**","0.25**","311"
"2017","Legal Intervention","Maine","--","1,335,743","--","--","--"
"2017","Legal Intervention","Maryland","--","6,028,186","--","--","--"
"2017","Legal Intervention","Massachusetts","--","6,863,560","--","--","--"
"2017","Legal Intervention","Michigan","--","9,976,752","--","--","--"
"2017","Legal Intervention","Minnesota","--","5,569,283","--","--","--"
"2017","Legal Intervention","Mississippi","--","2,990,674","--","--","--"
"2017","Legal Intervention","Missouri","--","6,111,382","--","--","--"
"2017","Legal Intervention","Montana","--","1,053,862","--","--","--"
"2017","Legal Intervention","Nevada","15**","2,972,097","0.51**","0.49**","399"
"2017","Legal Intervention","New Hampshire","--","1,350,395","--","--","--"
"2017","Legal Intervention","New Jersey","--","8,888,147","--","--","--"
"2017","Legal Intervention","New Mexico","18**","2,092,844","0.86**","0.91**","490"
"2017","Legal Intervention","New York","15**","19,593,849","0.08**","0.07**","423"
"2017","Legal Intervention","North Carolina","17**","10,275,758","0.17**","0.17**","528"
"2017","Legal Intervention","North Dakota","--","756,755","--","--","--"
"2017","Legal Intervention","Ohio","21","11,665,706","0.18","0.20","622"
"2017","Legal Intervention","Oklahoma","--","3,933,602","--","--","--"
"2017","Legal Intervention","Oregon","11**","4,147,294","0.27**","0.28**","343"
"2017","Legal Intervention","Pennsylvania","21","12,794,679","0.16","0.17","488"
"2017","Legal Intervention","South Carolina","--","5,027,102","--","--","--"
"2017","Legal Intervention","South Dakota","--","873,732","--","--","--"
"2017","Legal Intervention","Tennessee","17**","6,714,748","0.25**","0.27**","483"
"2017","Legal Intervention","Texas","37","28,291,024","0.13","0.13","1,128"
"2017","Legal Intervention","Utah","--","3,103,540","--","--","--"
"2017","Legal Intervention","Virginia","13**","8,471,011","0.15**","0.17**","407"
"2017","Legal Intervention","Washington","31","7,427,951","0.42","0.43","908"
"2017","Legal Intervention","West Virginia","--","1,818,683","--","--","--"
"2017","Legal Intervention","Wisconsin","16**","5,793,147","0.28**","0.30**","442"
"2017","Legal Intervention","Wyoming","--","579,994","--","--","--"
"2017","Suicide","Alabama","573","4,877,989","11.75","11.00","9,632"
"2017","Suicide","Alaska","119","740,983","16.06","16.16","3,078"
"2017","Suicide","Arizona","792","7,048,088","11.24","10.58","13,548"
"2017","Suicide","Arkansas","392","3,003,855","13.05","12.42","6,826"
"2017","Suicide","California","1,610","39,337,785","4.09","3.86","24,974"
"2017","Suicide","Colorado","592","5,617,421","10.54","10.08","12,041"
"2017","Suicide","Connecticut","109","3,575,324","3.05","2.79","1,652"
"2017","Suicide","Delaware","50","957,942","5.22","4.98","794"
"2017","Suicide","District of Columbia","--","697,079","--","--","--"
"2017","Suicide","Florida","1,723","20,977,089","8.21","7.16","25,237"
"2017","Suicide","Georgia","908","10,417,031","8.72","8.49","17,616"
"2017","Suicide","Hawaii","30","1,425,763","2.10","1.82","393"
"2017","Suicide","Idaho","244","1,719,745","14.19","14.15","4,856"
"2017","Suicide","Illinois","577","12,779,893","4.52","4.29","10,017"
"2017","Suicide","Indiana","604","6,662,068","9.07","8.79","12,349"
"2017","Suicide","Iowa","222","3,143,734","7.06","6.64","4,093"
"2017","Suicide","Kansas","316","2,910,892","10.86","10.58","6,465"
"2017","Suicide","Kentucky","470","4,455,590","10.55","10.08","8,407"
"2017","Suicide","Louisiana","444","4,673,673","9.50","9.24","8,715"
"2017","Suicide","Maine","151","1,335,743","11.31","10.02","2,217"
"2017","Suicide","Maryland","271","6,028,186","4.50","4.15","4,405"
"2017","Suicide","Massachusetts","152","6,863,560","2.22","2.00","2,778"
"2017","Suicide","Michigan","682","9,976,752","6.84","6.32","11,821"
"2017","Suicide","Minnesota","365","5,569,283","6.55","6.34","7,099"
"2017","Suicide","Mississippi","295","2,990,674","9.86","9.54","5,235"
"2017","Suicide","Missouri","701","6,111,382","11.47","10.91","13,510"
"2017","Suicide","Montana","213","1,053,862","20.21","19.30","3,716"
"2017","Suicide","Nebraska","126","1,916,998","6.57","6.48","2,531"
"2017","Suicide","Nevada","329","2,972,097","11.07","10.57","5,802"
"2017","Suicide","New Hampshire","132","1,350,395","9.78","9.14","2,578"
"2017","Suicide","New Jersey","204","8,888,147","2.30","2.14","2,969"
"2017","Suicide","New Mexico","261","2,092,844","12.47","11.72","4,874"
"2017","Suicide","New York","433","19,593,849","2.21","2.02","6,805"
"2017","Suicide","North Carolina","840","10,275,758","8.18","7.72","14,399"
"2017","Suicide","North Dakota","93","756,755","12.29","11.96","2,316"
"2017","Suicide","Ohio","918","11,665,706","7.87","7.53","16,970"
"2017","Suicide","Oklahoma","439","3,933,602","11.16","10.65","9,020"
"2017","Suicide","Oregon","439","4,147,294","10.59","9.83","7,154"
"2017","Suicide","Pennsylvania","993","12,794,679","7.76","7.10","16,436"
"2017","Suicide","Rhode Island","33","1,056,554","3.12","2.87","533"
"2017","Suicide","South Carolina","531","5,027,102","10.56","9.96","9,612"
"2017","Suicide","South Dakota","83","873,732","9.50","9.54","1,587"
"2017","Suicide","Tennessee","711","6,714,748","10.59","10.05","12,639"
"2017","Suicide","Texas","2,158","28,291,024","7.63","7.60","43,167"
"2017","Suicide","Utah","344","3,103,540","11.08","11.87","7,895"
