"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","35 to 39","Louisiana","104","308,071","33.76","--","2,899"
"2022","35 to 39","Maine","17**","86,104","19.74**","--","473"
"2022","35 to 39","Maryland","71","425,644","16.68","--","1,994"
"2022","35 to 39","Massachusetts","25","471,810","5.30","--","699"
"2022","35 to 39","Michigan","133","608,578","21.85","--","3,752"
"2022","35 to 39","Minnesota","48","393,493","12.20","--","1,334"
"2022","35 to 39","Mississippi","81","179,988","45.00","--","2,258"
"2022","35 to 39","Missouri","131","400,435","32.71","--","3,657"
"2022","35 to 39","Montana","35","72,812","48.07","--","981"
"2022","35 to 39","Nebraska","21","130,230","16.13","--","580"
"2022","35 to 39","Nevada","59","225,689","26.14","--","1,645"
"2022","35 to 39","New Hampshire","11**","88,792","12.39**","--","302"
"2022","35 to 39","New Jersey","36","614,134","5.86","--","1,005"
"2022","35 to 39","New Mexico","57","139,284","40.92","--","1,618"
"2022","35 to 39","New York","113","1,309,358","8.63","--","3,177"
"2022","35 to 39","North Carolina","148","681,251","21.73","--","4,158"
"2022","35 to 39","North Dakota","12**","52,823","22.72**","--","334"
"2022","35 to 39","Ohio","144","740,336","19.45","--","4,035"
"2022","35 to 39","Oklahoma","78","267,559","29.15","--","2,169"
"2022","35 to 39","Oregon","57","300,158","18.99","--","1,596"
"2022","35 to 39","Pennsylvania","174","834,213","20.86","--","4,897"
"2022","35 to 39","Rhode Island","--","71,337","--","--","--"
"2022","35 to 39","South Carolina","78","328,874","23.72","--","2,202"
"2022","35 to 39","South Dakota","14**","58,385","23.98**","--","397"
"2022","35 to 39","Tennessee","114","450,141","25.33","--","3,203"
"2022","35 to 39","Texas","418","2,151,212","19.43","--","11,741"
"2022","35 to 39","Utah","48","227,005","21.15","--","1,346"
"2022","35 to 39","Vermont","12**","40,141","29.90**","--","330"
"2022","35 to 39","Virginia","123","594,771","20.68","--","3,457"
"2022","35 to 39","Washington","84","579,368","14.50","--","2,357"
"2022","35 to 39","West Virginia","24","101,347","23.68","--","677"
"2022","35 to 39","Wisconsin","60","372,740","16.10","--","1,696"
"2022","35 to 39","Wyoming","15**","39,485","37.99**","--","417"
"2022","40 to 44","Alabama","99","310,743","31.86","--","2,279"
"2022","40 to 44","Alaska","12**","48,088","24.95**","--","280"
"2022","40 to 44","Arizona","122","454,313","26.85","--","2,814"
"2022","40 to 44","Arkansas","54","190,587","28.33","--","1,253"
"2022","40 to 44","California","297","2,606,759","11.39","--","6,880"
"2022","40 to 44","Colorado","76","404,667","18.78","--","1,744"
"2022","40 to 44","Connecticut","--","225,454","--","--","--"
"2022","40 to 44","Delaware","--","60,227","--","--","--"
"2022","40 to 44","District of Columbia","--","48,605","--","--","--"
"2022","40 to 44","Florida","216","1,372,170","15.74","--","4,965"
"2022","40 to 44","Georgia","166","717,847","23.13","--","3,793"
"2022","40 to 44","Hawaii","--","93,146","--","--","--"
"2022","40 to 44","Idaho","23","126,074","18.24","--","530"
"2022","40 to 44","Illinois","140","825,961","16.95","--","3,272"
"2022","40 to 44","Indiana","77","429,985","17.91","--","1,760"
"2022","40 to 44","Iowa","19**","202,008","9.41**","--","445"
"2022","40 to 44","Kansas","44","185,634","23.70","--","1,001"
"2022","40 to 44","Kentucky","89","284,568","31.28","--","2,054"
"2022","40 to 44","Louisiana","101","295,960","34.13","--","2,337"
