"Year","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Non-Hispanic","Minnesota","493","5,382,819","9.16","8.91","10,985"
"2020","Non-Hispanic","Mississippi","808","2,858,386","28.27","29.26","22,347"
"2020","Non-Hispanic","Missouri","1,389","5,874,052","23.65","24.18","36,727"
"2020","Non-Hispanic","Montana","232","1,041,643","22.27","20.81","4,639"
"2020","Non-Hispanic","Nebraska","185","1,731,921","10.68","10.46","4,112"
"2020","Non-Hispanic","Nevada","467","2,194,815","21.28","19.96","8,761"
"2020","Non-Hispanic","New Hampshire","126","1,320,179","9.54","9.03","2,359"
"2020","Non-Hispanic","New Jersey","387","7,301,367","5.30","5.30","9,580"
"2020","Non-Hispanic","New Mexico","267","1,063,838","25.10","23.82","5,207"
"2020","Non-Hispanic","New York","929","16,178,337","5.74","5.57","22,806"
"2020","Non-Hispanic","North Carolina","1,624","9,402,697","17.27","17.06","41,148"
"2020","Non-Hispanic","North Dakota","96","745,253","12.88","13.40","2,353"
"2020","Non-Hispanic","Ohio","1,729","11,303,011","15.30","15.35","44,754"
"2020","Non-Hispanic","Oklahoma","777","3,508,619","22.15","21.84","17,592"
"2020","Non-Hispanic","Oregon","539","3,661,606","14.72","13.37","9,674"
"2020","Non-Hispanic","Pennsylvania","1,647","11,940,362","13.79","13.64","40,081"
"2020","Non-Hispanic","Rhode Island","41","913,018","4.49","4.46","897"
"2020","Non-Hispanic","South Carolina","1,106","4,815,112","22.97","23.28","29,347"
"2020","Non-Hispanic","South Dakota","118","848,018","13.92","13.92","2,835"
"2020","Non-Hispanic","Tennessee","1,427","6,515,058","21.90","21.56","34,205"
"2020","Non-Hispanic","Texas","3,094","17,562,573","17.62","17.32","74,663"
"2020","Non-Hispanic","Utah","369","2,804,744","13.16","13.53","8,886"
"2020","Non-Hispanic","Vermont","72","629,202","11.44","10.54","1,355"
"2020","Non-Hispanic","Virginia","1,125","7,770,813","14.48","14.16","27,765"
"2020","Non-Hispanic","Washington","757","6,684,629","11.32","10.71","15,926"
"2020","Non-Hispanic","West Virginia","324","1,757,880","18.43","18.24","6,792"
"2020","Non-Hispanic","Wisconsin","677","5,465,412","12.39","12.16","15,340"
"2020","Non-Hispanic","Wyoming","146","517,273","28.23","27.42","2,980"
"2020","Hispanic","Alabama","14**","233,001","6.01**","6.03**","479"
"2020","Hispanic","Alaska","--","54,344","--","--","--"
"2020","Hispanic","Arizona","287","2,298,475","12.49","12.03","9,426"
"2020","Hispanic","Arkansas","21","243,654","8.62","10.23","662"
"2020","Hispanic","California","1,165","15,650,672","7.44","7.06","38,326"
"2020","Hispanic","Colorado","175","1,273,158","13.75","13.38","5,613"
"2020","Hispanic","Connecticut","30","625,187","4.80","4.34","1,086"
"2020","Hispanic","Delaware","--","98,566","--","--","--"
"2020","Hispanic","District of Columbia","--","77,661","--","--","--"
"2020","Hispanic","Florida","400","5,734,620","6.98","6.84","10,931"
"2020","Hispanic","Georgia","69","1,079,422","6.39","6.47","2,055"
"2020","Hispanic","Hawaii","--","159,267","--","--","--"
"2020","Hispanic","Idaho","30","240,762","12.46","11.66","1,017"
"2020","Hispanic","Illinois","212","2,281,875","9.29","8.72","7,260"
"2020","Hispanic","Indiana","61","510,766","11.94","11.74","2,125"
"2020","Hispanic","Iowa","--","208,906","--","--","--"
"2020","Hispanic","Kansas","65","369,734","17.58","14.99","2,551"
"2020","Hispanic","Kentucky","16**","181,688","8.81**","8.72**","557"
"2020","Hispanic","Louisiana","20**","255,402","7.83**","7.99**","623"
"2020","Hispanic","Maine","0**","25,682","0.00**","0.00**","--"
"2020","Hispanic","Maryland","35","675,400","5.18","5.35","1,006"
"2020","Hispanic","Massachusetts","46","881,105","5.22","4.46","1,699"
"2020","Hispanic","Michigan","56","550,334","10.18","9.86","1,836"
"2020","Hispanic","Minnesota","19**","327,033","5.81**","5.13**","717"
"2020","Hispanic","Mississippi","10**","99,755","10.03**","9.30**","380"
"2020","Hispanic","Missouri","35","279,946","12.50","11.76","1,215"
"2020","Hispanic","Montana","--","45,432","--","--","--"
"2020","Hispanic","Nebraska","12**","230,721","5.20**","4.99**","433"
"2020","Hispanic","Nevada","80","920,833","8.69","8.92","2,470"
"2020","Hispanic","New Hampshire","--","58,408","--","--","--"
"2020","Hispanic","New Jersey","56","1,970,322","2.84","2.75","1,896"
"2020","Hispanic","New Mexico","208","1,054,552","19.72","20.00","6,025"
"2020","Hispanic","New York","118","3,929,959","3.00","2.84","3,835"
"2020","Hispanic","North Carolina","74","1,046,748","7.07","6.67","2,604"
"2020","Hispanic","North Dakota","--","34,265","--","--","--"
"2020","Hispanic","Ohio","35","494,506","7.08","7.76","1,020"
"2020","Hispanic","Oklahoma","47","456,293","10.30","10.27","1,555"
"2020","Hispanic","Oregon","51","583,189","8.75","8.22","1,736"
"2020","Hispanic","Pennsylvania","101","1,054,078","9.58","8.96","3,549"
"2020","Hispanic","Rhode Island","13**","183,327","7.09**","6.28**","399"
"2020","Hispanic","South Carolina","25","316,736","7.89","8.37","745"
"2020","Hispanic","South Dakota","--","39,781","--","--","--"
"2020","Hispanic","Tennessee","46","410,561","11.20","10.75","1,619"
"2020","Hispanic","Texas","1,069","11,669,901","9.16","8.87","34,796"
"2020","Hispanic","Utah","60","479,041","12.53","11.23","2,225"
"2020","Hispanic","Vermont","--","13,691","--","--","--"
"2020","Hispanic","Virginia","45","865,658","5.20","5.17","1,521"
"2020","Hispanic","Washington","107","1,039,402","10.29","9.52","3,657"
"2020","Hispanic","West Virginia","--","33,540","--","--","--"
"2020","Hispanic","Wisconsin","40","430,859","9.28","9.32","1,320"
"2020","Hispanic","Wyoming","--","60,332","--","--","--"
"2020","Unknown","Alabama","--","--","--","--","--"
"2020","Unknown","Alaska","--","--","--","--","--"
"2020","Unknown","Arizona","16**","--","0.00**","0.00**","222"
"2020","Unknown","Arkansas","--","--","--","--","--"
