"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2018","Tennessee","1,187","6,399,457","18.55","18.15","28,357"
"2018","Texas","2,691","17,335,295","15.52","14.92","58,018"
"2018","Utah","361","2,707,927","13.33","13.89","8,866"
"2018","Vermont","82","612,243","13.39","12.92","1,580"
"2018","Virginia","991","7,698,019","12.87","12.38","22,608"
"2018","Washington","726","6,555,579","11.08","10.33","14,293"
"2018","West Virginia","340","1,775,872","19.15","18.23","6,227"
"2018","Wisconsin","572","5,398,833","10.60","10.37","12,504"
"2018","Wyoming","119","520,313","22.87","22.37","2,468"
"2017","Alabama","1,109","4,669,265","23.75","23.48","26,004"
"2017","Alaska","168","687,978","24.42","24.58","4,558"
"2017","Arizona","869","4,840,768","17.95","16.67","15,670"
"2017","Arkansas","594","2,778,777","21.38","21.08","12,926"
"2017","California","2,181","24,045,863","9.07","8.36","42,080"
"2017","Colorado","640","4,410,245","14.51","13.52","13,294"
"2017","Connecticut","167","3,002,274","5.56","5.45","3,668"
"2017","Delaware","110","869,393","12.65","12.83","2,962"
"2017","District of Columbia","93","620,751","14.98","13.61","3,058"
"2017","Florida","2,416","15,645,794","15.44","14.68","48,169"
"2017","Georgia","1,556","9,428,160","16.50","16.20","38,693"
"2017","Hawaii","37","1,274,119","2.90","2.54","611"
"2017","Idaho","261","1,503,753","17.36","17.10","5,241"
"2017","Illinois","1,369","10,602,758","12.91","13.05","38,846"
"2017","Indiana","987","6,200,943","15.92","15.84","24,662"
"2017","Iowa","290","2,954,491","9.82","9.48","6,217"
"2017","Kansas","429","2,564,605","16.73","16.49","9,936"
"2017","Kentucky","716","4,290,696","16.69","16.45","16,105"
"2017","Louisiana","973","4,435,863","21.94","22.05","26,433"
"2017","Maine","172","1,313,611","13.09","11.77","2,723"
"2017","Maryland","724","5,426,760","13.34","13.42","19,840"
"2017","Massachusetts","220","6,055,699","3.63","3.48","5,330"
"2017","Michigan","1,095","9,466,830","11.57","11.27","25,023"
"2017","Minnesota","451","5,268,793","8.56","8.39","9,762"
"2017","Mississippi","624","2,895,068","21.55","21.84","15,573"
"2017","Missouri","1,281","5,855,450","21.88","21.82","32,031"
"2017","Montana","238","1,013,035","23.49","22.75","4,387"
"2017","Nebraska","148","1,707,112","8.67","8.48","3,166"
"2017","Nevada","433","2,121,706","20.41","19.60","8,772"
"2017","New Hampshire","146","1,299,866","11.23","10.66","2,907"
"2017","New Jersey","425","7,102,703","5.98","6.07","10,409"
"2017","New Mexico","234","1,069,329","21.88","19.60","4,091"
"2017","New York","678","15,884,786","4.27","4.04","14,798"
"2017","North Carolina","1,375","9,316,803","14.76","14.30","30,624"
"2017","North Dakota","98","728,054","13.46","12.91","2,470"
"2017","Ohio","1,570","11,220,032","13.99","14.04","38,440"
"2017","Oklahoma","644","3,512,750","18.33","17.99","15,275"
"2017","Oregon","500","3,608,002","13.86","12.80","8,721"
"2017","Pennsylvania","1,535","11,856,218","12.95","12.53","34,678"
"2017","Rhode Island","41","893,494","4.59","4.33","839"
"2017","South Carolina","870","4,742,317","18.35","18.13","20,338"
"2017","South Dakota","101","838,442","12.05","12.22","2,167"
"2017","Tennessee","1,212","6,350,852","19.08","18.91","28,526"
"2017","Texas","2,743","17,192,747","15.95","15.35","61,224"
"2017","Utah","373","2,669,790","13.97","14.68","8,788"
"2017","Vermont","68","612,970","11.09","11.65","1,439"
"2017","Virginia","1,012","7,680,172","13.18","12.67","23,486"
"2017","Washington","759","6,483,240","11.71","10.95","14,560"
"2017","West Virginia","342","1,789,521","19.11","18.51","6,105"
"2017","Wisconsin","605","5,394,903","11.21","10.89","13,559"
"2017","Wyoming","107","521,748","20.51","19.10","1,987"
"2016","Alabama","1,035","4,663,158","22.20","22.05","24,829"
"2016","Alaska","169","690,740","24.47","23.67","5,094"
"2016","Arizona","859","4,787,616","17.94","16.37","14,824"
"2016","Arkansas","527","2,773,431","19.00","18.47","11,211"
"2016","California","2,223","23,997,187","9.26","8.54","44,600"
"2016","Colorado","695","4,360,955","15.94","15.11","14,701"
"2016","Connecticut","153","3,021,143","5.06","4.71","2,970"
"2016","Delaware","109","864,431","12.61","11.74","2,377"
"2016","District of Columbia","104","613,167","16.96","14.46","3,609"
"2016","Florida","2,367","15,482,254","15.29","14.79","48,334"
"2016","Georgia","1,517","9,345,739","16.23","15.84","38,211"
"2016","Hawaii","54","1,278,924","4.22","3.99","1,114"
"2016","Idaho","228","1,475,237","15.46","15.30","4,488"
"2016","Illinois","1,317","10,660,834","12.35","12.45","37,568"
"2016","Indiana","958","6,189,082","15.48","15.27","22,773"
"2016","Iowa","282","2,949,232","9.56","9.57","6,363"
"2016","Kansas","349","2,571,926","13.57","13.55","8,238"
"2016","Kentucky","758","4,281,840","17.70","17.72","16,949"
"2016","Louisiana","972","4,446,834","21.86","21.98","25,974"
"2016","Maine","123","1,311,023","9.38","8.36","2,205"
"2016","Maryland","688","5,424,662","12.68","12.89","19,211"
"2016","Massachusetts","203","6,045,881","3.36","3.19","4,490"
"2016","Michigan","1,184","9,455,244","12.52","12.31","28,167"
"2016","Minnesota","418","5,233,900","7.99","7.74","8,972"
"2016","Mississippi","579","2,898,013","19.98","20.21","15,037"
"2016","Missouri","1,112","5,842,468","19.03","19.06","27,926"
"2016","Montana","187","1,003,541","18.63","18.95","3,918"
"2016","Nebraska","160","1,703,505","9.39","9.42","3,923"
