education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Graduated High School",Arkansas,5,271,125,396,69.9145242707923,64.6019653750631,75.2270831665215,69.7381691273075,61.1752757947016,78.3010624599133
"Attended College or Technical School",Arkansas,5,284,95,379,77.2526091496676,72.2149932428417,82.2902250564935,77.4561439871465,70.0112674110503,84.9010205632427
"Graduated from College or Technical
School",Arkansas,5,322,99,421,76.7542758055921,71.8587955618147,81.6497560493695,77.5302071212778,70.2174166708645,84.8429975716912
"Don’t know/Not sure/Missing",Arkansas,5,6,0,6,100,100,100,.,.,.
"Did not graduate High School",California,6,87,53,140,58.530697309121,48.4935218390241,68.5678727792179,59.4865615552977,44.4623677437482,74.5107553668473
"Graduated High School",California,6,207,80,287,73.057388800405,66.3941256802743,79.7206519205356,73.3883846707257,62.9336170145221,83.8431523269293
"Attended College or Technical School",California,6,395,119,514,79.776090643525,74.9756349330643,84.5765463539857,80.1063216224832,72.7362587468516,87.4763844981147
"Graduated from College or Technical
School",California,6,781,166,947,83.0219821673047,78.9032571640096,87.1407071705999,83.6207697424654,76.9274295465999,90.3141099383309
"Don’t know/Not sure/Missing",California,6,2,1,3,.,.,.,.,.,.
"Did not graduate High School",Colorado,8,55,36,91,68.8506607913096,59.9968353927875,77.7044861898317,69.2897938935714,54.5704981271237,84.0090896600191
"Graduated High School",Colorado,8,198,92,290,69.7008436073403,62.509908339977,76.8917788747036,71.4825922255891,62.801484849408,80.1636996017701
"Attended College or Technical School",Colorado,8,359,161,520,67.8738452136142,62.4356064655205,73.3120839617078,67.7192064778614,58.7634049800263,76.6750079756965
"Graduated from College or Technical
School",Colorado,8,716,236,952,74.8136515467689,71.1246276072764,78.5026754862613,75.3359117581781,70.2553949568261,80.4164285595302
"Don’t know/Not sure/Missing",Colorado,8,4,1,5,75.9345104407558,72.1800313570406,79.688989524471,60.9532472976598,60.9532472976598,60.9532472976598
"Did not graduate High School",Connecticut,9,78,19,97,83.1809027327988,75.3698334079647,90.991972057633,83.255302127794,69.6547156809124,96.8558885746756
