"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2004","2004","Lung and Bronchus","22030","Nebraska","31",1240,1749370,70.9
,"2004","2004","Lung and Bronchus","22030","Nevada","32",1725,2346222,73.5
,"2004","2004","Lung and Bronchus","22030","New Hampshire","33",987,1290121,76.5
,"2004","2004","Lung and Bronchus","22030","New Jersey","34",5816,8634561,67.4
,"2004","2004","Lung and Bronchus","22030","New Mexico","35",905,1903808,47.5
,"2004","2004","Lung and Bronchus","22030","New York","36",13127,19171567,68.5
,"2004","2004","Lung and Bronchus","22030","North Carolina","37",6610,8553152,77.3
,"2004","2004","Lung and Bronchus","22030","North Dakota","38",421,644705,65.3
,"2004","2004","Lung and Bronchus","22030","Ohio","39",9457,11452251,82.6
,"2004","2004","Lung and Bronchus","22030","Oklahoma","40",3058,3525233,86.7
,"2004","2004","Lung and Bronchus","22030","Oregon","41",2639,3569463,73.9
,"2004","2004","Lung and Bronchus","22030","Pennsylvania","42",10332,12410722,83.3
,"2004","2004","Lung and Bronchus","22030","Rhode Island","44",906,1074579,84.3
,"2004","2004","Lung and Bronchus","22030","South Carolina","45",3208,4210921,76.2
,"2004","2004","Lung and Bronchus","22030","South Dakota","46",524,770396,68.0
,"2004","2004","Lung and Bronchus","22030","Tennessee","47",5162,5910809,87.3
,"2004","2004","Lung and Bronchus","22030","Texas","48",12797,22394023,57.1
,"2004","2004","Lung and Bronchus","22030","Utah","49",512,2401580,21.3
,"2004","2004","Lung and Bronchus","22030","Vermont","50",441,619920,71.1
,"2004","2004","Lung and Bronchus","22030","Virginia","51",5086,7475575,68.0
,"2004","2004","Lung and Bronchus","22030","Washington","53",4053,6178645,65.6
,"2004","2004","Lung and Bronchus","22030","West Virginia","54",1986,1816438,109.3
,"2004","2004","Lung and Bronchus","22030","Wisconsin","55",3695,5514026,67.0
,"2004","2004","Lung and Bronchus","22030","Wyoming","56",276,509106,54.2
,"2004","2004","Lung and Bronchus","22030","Puerto Rico","72",Missing,Missing,Missing
,"2005","2005","Lung and Bronchus","22030","Alabama","01",3766,4565917,82.5
,"2005","2005","Lung and Bronchus","22030","Alaska","02",337,666946,50.5
,"2005","2005","Lung and Bronchus","22030","Arizona","04",3585,5839077,61.4
,"2005","2005","Lung and Bronchus","22030","Arkansas","05",2607,2781097,93.7
,"2005","2005","Lung and Bronchus","22030","California","06",17563,35827943,49.0
,"2005","2005","Lung and Bronchus","22030","Colorado","08",1995,4631888,43.1
,"2005","2005","Lung and Bronchus","22030","Connecticut","09",2622,3506956,74.8
,"2005","2005","Lung and Bronchus","22030","Delaware","10",783,845150,92.6
,"2005","2005","Lung and Bronchus","22030","District of Columbia","11",349,567136,61.5
,"2005","2005","Lung and Bronchus","22030","Florida","12",16635,17842038,93.2
,"2005","2005","Lung and Bronchus","22030","Georgia","13",5651,8925922,63.3
,"2005","2005","Lung and Bronchus","22030","Hawaii","15",774,1292729,59.9
,"2005","2005","Lung and Bronchus","22030","Idaho","16",823,1428241,57.6
,"2005","2005","Lung and Bronchus","22030","Illinois","17",9066,12609903,71.9
,"2005","2005","Lung and Bronchus","22030","Indiana","18",5170,6278616,82.3
,"2005","2005","Lung and Bronchus","22030","Iowa","19",2424,2964454,81.8
,"2005","2005","Lung and Bronchus","22030","Kansas","20",1911,2745299,69.6
,"2005","2005","Lung and Bronchus","22030","Kentucky","21",4462,4182742,106.7
,"2005","2005","Lung and Bronchus","22030","Louisiana","22",3418,4411396,77.5
,"2005","2005","Lung and Bronchus","22030","Maine","23",1265,1318787,95.9
,"2005","2005","Lung and Bronchus","22030","Maryland","24",3757,5592379,67.2
,"2005","2005","Lung and Bronchus","22030","Massachusetts","25",5072,6403290,79.2
,"2005","2005","Lung and Bronchus","22030","Michigan","26",7924,10051137,78.8
,"2005","2005","Lung and Bronchus","22030","Minnesota","27",2921,5119598,57.1
,"2005","2005","Lung and Bronchus","22030","Mississippi","28",2272,2876229,79.0
,"2005","2005","Lung and Bronchus","22030","Missouri","29",5253,5790300,90.7
,"2005","2005","Lung and Bronchus","22030","Montana","30",745,940102,79.2
,"2005","2005","Lung and Bronchus","22030","Nebraska","31",1199,1761497,68.1
,"2005","2005","Lung and Bronchus","22030","Nevada","32",1637,2432143,67.3
,"2005","2005","Lung and Bronchus","22030","New Hampshire","33",1035,1298492,79.7
,"2005","2005","Lung and Bronchus","22030","New Jersey","34",6141,8651974,71.0
,"2005","2005","Lung and Bronchus","22030","New Mexico","35",959,1932274,49.6
,"2005","2005","Lung and Bronchus","22030","New York","36",13190,19132610,68.9
,"2005","2005","Lung and Bronchus","22030","North Carolina","37",6982,8705407,80.2
,"2005","2005","Lung and Bronchus","22030","North Dakota","38",458,646089,70.9
,"2005","2005","Lung and Bronchus","22030","Ohio","39",9559,11463320,83.4
,"2005","2005","Lung and Bronchus","22030","Oklahoma","40",3123,3548597,88.0
