income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$200,000 or more",Massachusetts,25,249,90,339,71.1986371773265,65.1886596281117,77.2086147265413,56.6442798801429,37.4888009645055,75.7997587957803
"Don’t know/Not sure/Missing",Massachusetts,25,312,329,641,44.601898036471,39.4704916501513,49.7333044227908,44.0152169922814,29.7445675266928,58.28586645787
"Less than $15,000",Michigan,26,50,113,163,29.4361331719,20.8327045524279,38.0395617913721,.,.,.
"$15,000 to < $25,000",Michigan,26,78,133,211,34.2821680841336,25.7214345855396,42.8429015827276,35.0341368565367,16.9572807901613,53.1109929229121
"$25,000 to < $35,000",Michigan,26,95,144,239,34.7326936262182,27.9832840777602,41.4821031746762,37.7407513006912,21.1324280661203,54.3490745352621
"$35,000 to < $50,000",Michigan,26,130,128,258,52.6484892549475,45.2737935772784,60.0231849326165,50.6749918470434,32.2599227279329,69.0900609661538
"$50,000 to < $75,000",Michigan,26,187,169,356,53.3795993407066,47.2528314804903,59.5063672009228,50.3884533752243,37.2762676037282,63.5006391467203
"$75,000 to < $100,000",Michigan,26,202,131,333,55.6119272443274,48.7622361905443,62.4616182981105,53.1086374244155,35.859956390528,70.357318458303
"$100,000 to < $200,000",Michigan,26,291,189,480,60.231346665309,55.1136645888824,65.3490287417356,53.5882611819046,41.5344919871627,65.6420303766466
"$200,000 or more",Michigan,26,96,39,135,67.4836663032046,56.7108140813439,78.2565185250653,68.0253815697661,49.8237765467737,86.2269865927585
"Don’t know/Not sure/Missing",Michigan,26,169,207,376,39.8915746469995,34.0523501065698,45.7307991874292,39.8353804255396,24.3417612148254,55.3289996362539
"Less than $15,000",Minnesota,27,58,105,163,25.396943313258,17.5116542340601,33.2822323924559,.,.,.
"$15,000 to < $25,000",Minnesota,27,83,163,246,29.417677340958,22.4686538320868,36.3667008498291,29.8910836987202,12.8980855922341,46.8840818052064
