age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_30_34,Iowa,19,90,99,189,50.3428397011328,41.6067287455439,59.0789506567217,.,.,.
_35_39,Iowa,19,123,146,269,46.4567140569791,39.379008553196,53.5344195607622,.,.,.
_40_44,Iowa,19,155,145,300,52.4927092988856,45.4692009337901,59.5162176639811,.,.,.
_45_49,Iowa,19,127,107,234,56.9878076329439,49.2499474980943,64.7256677677934,.,.,.
_50_54,Iowa,19,135,125,260,55.3945163866775,48.1913703547226,62.5976624186324,.,.,.
_55_59,Iowa,19,147,158,305,47.4840431182243,40.6483582197101,54.3197280167386,.,.,.
_60_65,Iowa,19,194,306,500,37.3455180529318,32.1829452095549,42.5080908963086,.,.,.
_21_24,Kansas,20,50,99,149,28.2150669609733,20.1643986119828,36.2657353099638,.,.,.
_25_29,Kansas,20,108,98,206,48.6257141694808,39.9151072609268,57.3363210780348,.,.,.
_30_34,Kansas,20,126,130,256,46.2160646779542,38.3584953177465,54.073634038162,.,.,.
_35_39,Kansas,20,145,146,291,51.1328551046913,43.9095100831267,58.3562001262558,.,.,.
_40_44,Kansas,20,175,123,298,61.4524461942323,54.8671401166997,68.0377522717648,.,.,.
_45_49,Kansas,20,157,138,295,54.4130143740923,47.1951681900974,61.6308605580871,.,.,.
_50_54,Kansas,20,141,191,332,36.0338005832349,30.0168193913444,42.0507817751254,.,.,.
_55_59,Kansas,20,156,224,380,40.3965182952035,34.4606351580338,46.3324014323732,.,.,.
_60_65,Kansas,20,264,368,632,42.3401681021602,37.4574729076918,47.2228632966285,.,.,.
_21_24,Kentucky,21,28,44,72,38.8412024443865,25.124453471164,52.557951417609,.,.,.
_25_29,Kentucky,21,45,63,108,39.879188344278,28.7943086523719,50.9640680361841,.,.,.
_30_34,Kentucky,21,53,63,116,40.5095615476266,28.1913826227381,52.8277404725152,.,.,.
_35_39,Kentucky,21,66,49,115,51.9464030396587,41.3248551208752,62.5679509584423,.,.,.
_40_44,Kentucky,21,70,64,134,49.8623486147717,39.2031831792263,60.5215140503171,.,.,.
_45_49,Kentucky,21,62,49,111,61.8377394887837,50.775601391022,72.8998775865455,.,.,.
_50_54,Kentucky,21,64,96,160,39.0554332578747,30.3482369523206,47.7626295634289,.,.,.
_55_59,Kentucky,21,67,97,164,38.7436238678895,28.5231919865795,48.9640557491995,.,.,.
_60_65,Kentucky,21,96,153,249,35.1335142556844,26.4415189168453,43.8255095945234,.,.,.
_21_24,Louisiana,22,24,38,62,32.1402264058849,22.5715900517502,41.7088627600195,.,.,.
_25_29,Louisiana,22,53,51,104,50.0584194497595,39.1324234345822,60.9844154649367,.,.,.
_30_34,Louisiana,22,79,58,137,52.8994776245831,43.9501862513399,61.8487689978262,.,.,.
_35_39,Louisiana,22,93,92,185,45.7496435917639,37.6294800777386,53.8698071057892,.,.,.
_40_44,Louisiana,22,84,66,150,54.8484196735576,45.4534566068331,64.2433827402821,.,.,.
_45_49,Louisiana,22,70,63,133,54.3208013289469,44.7892600898114,63.8523425680823,.,.,.
_50_54,Louisiana,22,108,99,207,48.5029999877651,40.2194378147015,56.7865621608287,.,.,.
_55_59,Louisiana,22,102,106,208,49.9279573085977,41.3189427793367,58.5369718378587,.,.,.
_60_65,Louisiana,22,126,207,333,37.5892502949599,30.6553481604187,44.5231524295011,.,.,.
_21_24,Maine,23,52,58,110,47.4389048151671,35.3411983003255,59.5366113300087,.,.,.
_25_29,Maine,23,66,57,123,53.3366478179104,43.4140175392632,63.2592780965575,.,.,.
_30_34,Maine,23,107,94,201,52.9192473085573,44.3070537959162,61.5314408211983,.,.,.
_35_39,Maine,23,120,113,233,54.2371916363412,46.4074677029337,62.0669155697488,.,.,.
_40_44,Maine,23,170,121,291,57.2785102393056,50.0710081506578,64.4860123279535,.,.,.
_45_49,Maine,23,152,107,259,59.3877861329024,51.6181826306813,67.1573896351235,.,.,.
_50_54,Maine,23,213,183,396,57.5776430428775,51.6207838710451,63.53450221471,.,.,.
_55_59,Maine,23,255,210,465,54.4911986249231,48.3823959172789,60.6000013325673,.,.,.
_60_65,Maine,23,344,356,700,48.0570283988577,43.4821400314227,52.6319167662927,.,.,.
_21_24,Maryland,24,66,128,194,35.7978702060918,25.8449115002311,45.7508289119525,.,.,.
