Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2005,2005,Lung and Bronchus,22030,Texas,48,9684,22773020,42.5
,2005,2005,Lung and Bronchus,22030,Utah,49,433,2457719,17.6
,2005,2005,Lung and Bronchus,22030,Vermont,50,336,621215,54.1
,2005,2005,Lung and Bronchus,22030,Virginia,51,4151,7577105,54.8
,2005,2005,Lung and Bronchus,22030,Washington,53,3127,6257305,50
,2005,2005,Lung and Bronchus,22030,West Virginia,54,1494,1820492,82.1
,2005,2005,Lung and Bronchus,22030,Wisconsin,55,2857,5546166,51.5
,2005,2005,Lung and Bronchus,22030,Wyoming,56,251,514157,48.8
,2005,2005,Lung and Bronchus,22030,Puerto Rico,72,543,3821362,14.2
,2006,2006,Lung and Bronchus,22030,Alabama,01,3021,4628981,65.3
,2006,2006,Lung and Bronchus,22030,Alaska,02,206,675302,30.5
