state_fips,state_name,sex,age,population
21,Kentucky,Male,10-19,299102.0
21,Kentucky,Male,20-29,312165.0
21,Kentucky,Male,30-39,286880.0
21,Kentucky,Male,40-49,280742.0
21,Kentucky,Male,50-59,291600.0
21,Kentucky,Male,60-69,266019.0
21,Kentucky,Male,70-79,154279.0
21,Kentucky,Male,80+,61704.0
21,Kentucky,Male,All,2234041.0
22,Louisiana,All,0-9,584130.0
22,Louisiana,All,10-19,621215.0
22,Louisiana,All,20-29,628683.0
22,Louisiana,All,30-39,639265.0
22,Louisiana,All,40-49,548443.0
22,Louisiana,All,50-59,574567.0
22,Louisiana,All,60-69,553059.0
22,Louisiana,All,70-79,331236.0
22,Louisiana,All,80+,159948.0
22,Louisiana,All,All,4640546.0
22,Louisiana,Female,0-9,285404.0
22,Louisiana,Female,10-19,303432.0
22,Louisiana,Female,20-29,313139.0
22,Louisiana,Female,30-39,322642.0
22,Louisiana,Female,40-49,275978.0
22,Louisiana,Female,50-59,293132.0
22,Louisiana,Female,60-69,291190.0
22,Louisiana,Female,70-79,181314.0
22,Louisiana,Female,80+,98966.0
22,Louisiana,Female,All,2365197.0
22,Louisiana,Male,0-9,298726.0
22,Louisiana,Male,10-19,317783.0
22,Louisiana,Male,20-29,315544.0
22,Louisiana,Male,30-39,316623.0
22,Louisiana,Male,40-49,272465.0
22,Louisiana,Male,50-59,281435.0
22,Louisiana,Male,60-69,261869.0
22,Louisiana,Male,70-79,149922.0
22,Louisiana,Male,80+,60982.0
22,Louisiana,Male,All,2275349.0
23,Maine,All,0-9,132162.0
23,Maine,All,10-19,151778.0
23,Maine,All,20-29,157154.0
23,Maine,All,30-39,168150.0
23,Maine,All,40-49,159166.0
23,Maine,All,50-59,196369.0
23,Maine,All,60-69,206338.0
23,Maine,All,70-79,128852.0
23,Maine,All,80+,66980.0
23,Maine,All,All,1366949.0
23,Maine,Female,0-9,64592.0
23,Maine,Female,10-19,73317.0
23,Maine,Female,20-29,76895.0
23,Maine,Female,30-39,83702.0
23,Maine,Female,40-49,79824.0
23,Maine,Female,50-59,100433.0
23,Maine,Female,60-69,105030.0
23,Maine,Female,70-79,68183.0
23,Maine,Female,80+,40743.0
23,Maine,Female,All,692719.0
23,Maine,Male,0-9,67570.0
23,Maine,Male,10-19,78461.0
23,Maine,Male,20-29,80259.0
23,Maine,Male,30-39,84448.0
23,Maine,Male,40-49,79342.0
23,Maine,Male,50-59,95936.0
23,Maine,Male,60-69,101308.0
23,Maine,Male,70-79,60669.0
23,Maine,Male,80+,26237.0
23,Maine,Male,All,674230.0
24,Maryland,All,0-9,731603.0
24,Maryland,All,10-19,788149.0
24,Maryland,All,20-29,781847.0
24,Maryland,All,30-39,849706.0
24,Maryland,All,40-49,773691.0
24,Maryland,All,50-59,842636.0
24,Maryland,All,60-69,732761.0
24,Maryland,All,70-79,431110.0
24,Maryland,All,80+,230204.0
24,Maryland,All,All,6161707.0
24,Maryland,Female,0-9,358776.0
24,Maryland,Female,10-19,385359.0
24,Maryland,Female,20-29,387894.0
24,Maryland,Female,30-39,428688.0
24,Maryland,Female,40-49,394651.0
24,Maryland,Female,50-59,434705.0
24,Maryland,Female,60-69,385599.0
24,Maryland,Female,70-79,240364.0
24,Maryland,Female,80+,142775.0
24,Maryland,Female,All,3158811.0
24,Maryland,Male,0-9,372827.0
24,Maryland,Male,10-19,402790.0
24,Maryland,Male,20-29,393953.0
24,Maryland,Male,30-39,421018.0
24,Maryland,Male,40-49,379040.0
24,Maryland,Male,50-59,407931.0
24,Maryland,Male,60-69,347162.0
24,Maryland,Male,70-79,190746.0
24,Maryland,Male,80+,87429.0
24,Maryland,Male,All,3002896.0
25,Massachusetts,All,0-9,715790.0
25,Massachusetts,All,10-19,860719.0
25,Massachusetts,All,20-29,980465.0
25,Massachusetts,All,30-39,950985.0
25,Massachusetts,All,40-49,849745.0
25,Massachusetts,All,50-59,965425.0
25,Massachusetts,All,60-69,853596.0
25,Massachusetts,All,70-79,515035.0
25,Massachusetts,All,80+,292445.0
25,Massachusetts,All,All,6984205.0
25,Massachusetts,Female,0-9,349586.0
25,Massachusetts,Female,10-19,422802.0
25,Massachusetts,Female,20-29,486846.0
25,Massachusetts,Female,30-39,474639.0
25,Massachusetts,Female,40-49,429025.0
25,Massachusetts,Female,50-59,489909.0
25,Massachusetts,Female,60-69,444047.0
25,Massachusetts,Female,70-79,283881.0
25,Massachusetts,Female,80+,184131.0
25,Massachusetts,Female,All,3564866.0
25,Massachusetts,Male,0-9,366204.0
25,Massachusetts,Male,10-19,437917.0
25,Massachusetts,Male,20-29,493619.0
25,Massachusetts,Male,30-39,476346.0
25,Massachusetts,Male,40-49,420720.0
25,Massachusetts,Male,50-59,475516.0
25,Massachusetts,Male,60-69,409549.0
25,Massachusetts,Male,70-79,231154.0
25,Massachusetts,Male,80+,108314.0
25,Massachusetts,Male,All,3419339.0
26,Michigan,All,0-9,1138841.0
26,Michigan,All,10-19,1283000.0
26,Michigan,All,20-29,1369256.0
26,Michigan,All,30-39,1248458.0
26,Michigan,All,40-49,1184321.0
26,Michigan,All,50-59,1341146.0
26,Michigan,All,60-69,1303078.0
26,Michigan,All,70-79,779949.0
26,Michigan,All,80+,409872.0
26,Michigan,All,All,10057921.0
26,Michigan,Female,0-9,553860.0
26,Michigan,Female,10-19,626404.0
26,Michigan,Female,20-29,665475.0
26,Michigan,Female,30-39,616700.0
26,Michigan,Female,40-49,588834.0
26,Michigan,Female,50-59,674370.0
26,Michigan,Female,60-69,666277.0
26,Michigan,Female,70-79,420566.0
26,Michigan,Female,80+,251739.0
26,Michigan,Female,All,5064225.0
26,Michigan,Male,0-9,584981.0
26,Michigan,Male,10-19,656596.0
26,Michigan,Male,20-29,703781.0
26,Michigan,Male,30-39,631758.0
26,Michigan,Male,40-49,595487.0
26,Michigan,Male,50-59,666776.0
26,Michigan,Male,60-69,636801.0
26,Michigan,Male,70-79,359383.0
26,Michigan,Male,80+,158133.0
26,Michigan,Male,All,4993696.0
27,Minnesota,All,0-9,705541.0
