state_fips,state_name,sex,population,population_pct,time_period
36,New York,All,19798228.0,100.0,2017
36,New York,All,19994379.0,100.0,2022
37,North Carolina,All,9750405.0,100.0,2014
37,North Carolina,All,9544249.0,100.0,2012
37,North Carolina,All,9651380.0,100.0,2013
37,North Carolina,All,9045705.0,100.0,2009
37,North Carolina,All,9418736.0,100.0,2011
37,North Carolina,All,9271178.0,100.0,2010
37,North Carolina,All,10155624.0,100.0,2018
37,North Carolina,All,10367022.0,100.0,2021
37,North Carolina,All,9940828.0,100.0,2016
37,North Carolina,All,10264876.0,100.0,2019
37,North Carolina,All,9845333.0,100.0,2015
37,North Carolina,All,10386227.0,100.0,2020
37,North Carolina,All,10052564.0,100.0,2017
37,North Carolina,All,10470214.0,100.0,2022
38,North Dakota,All,704925.0,100.0,2014
38,North Dakota,All,676253.0,100.0,2012
38,North Dakota,All,689781.0,100.0,2013
38,North Dakota,All,639725.0,100.0,2009
38,North Dakota,All,666783.0,100.0,2011
38,North Dakota,All,659858.0,100.0,2010
38,North Dakota,All,752201.0,100.0,2018
38,North Dakota,All,773344.0,100.0,2021
38,North Dakota,All,736162.0,100.0,2016
38,North Dakota,All,756717.0,100.0,2019
38,North Dakota,All,721640.0,100.0,2015
38,North Dakota,All,760394.0,100.0,2020
38,North Dakota,All,745475.0,100.0,2017
38,North Dakota,All,776874.0,100.0,2022
39,Ohio,All,11560380.0,100.0,2014
39,Ohio,All,11533561.0,100.0,2012
39,Ohio,All,11549590.0,100.0,2013
39,Ohio,All,11511858.0,100.0,2009
39,Ohio,All,11525536.0,100.0,2011
39,Ohio,All,11512431.0,100.0,2010
39,Ohio,All,11641879.0,100.0,2018
39,Ohio,All,11769923.0,100.0,2021
39,Ohio,All,11586941.0,100.0,2016
39,Ohio,All,11655397.0,100.0,2019
39,Ohio,All,11575977.0,100.0,2015
39,Ohio,All,11675275.0,100.0,2020
39,Ohio,All,11609756.0,100.0,2017
39,Ohio,All,11774683.0,100.0,2022
40,Oklahoma,All,3818851.0,100.0,2014
40,Oklahoma,All,3749005.0,100.0,2012
40,Oklahoma,All,3785742.0,100.0,2013
40,Oklahoma,All,3610073.0,100.0,2009
40,Oklahoma,All,3714520.0,100.0,2011
40,Oklahoma,All,3675339.0,100.0,2010
40,Oklahoma,All,3918137.0,100.0,2018
40,Oklahoma,All,3948136.0,100.0,2021
40,Oklahoma,All,3875589.0,100.0,2016
40,Oklahoma,All,3932870.0,100.0,2019
40,Oklahoma,All,3849733.0,100.0,2015
40,Oklahoma,All,3949342.0,100.0,2020
40,Oklahoma,All,3896251.0,100.0,2017
40,Oklahoma,All,3970497.0,100.0,2022
41,Oregon,All,3900343.0,100.0,2014
41,Oregon,All,3836628.0,100.0,2012
41,Oregon,All,3868721.0,100.0,2013
41,Oregon,All,3727407.0,100.0,2009
41,Oregon,All,3801991.0,100.0,2011
41,Oregon,All,3761925.0,100.0,2010
41,Oregon,All,4081943.0,100.0,2018
41,Oregon,All,4207177.0,100.0,2021
41,Oregon,All,3982267.0,100.0,2016
41,Oregon,All,4129803.0,100.0,2019
41,Oregon,All,3939233.0,100.0,2015
41,Oregon,All,4176346.0,100.0,2020
41,Oregon,All,4025127.0,100.0,2017
41,Oregon,All,4229374.0,100.0,2022
42,Pennsylvania,All,12758729.0,100.0,2014
42,Pennsylvania,All,12699589.0,100.0,2012
42,Pennsylvania,All,12731381.0,100.0,2013
42,Pennsylvania,All,12516596.0,100.0,2009
42,Pennsylvania,All,12660739.0,100.0,2011
42,Pennsylvania,All,12612705.0,100.0,2010
42,Pennsylvania,All,12791181.0,100.0,2018
42,Pennsylvania,All,12970650.0,100.0,2021
42,Pennsylvania,All,12783977.0,100.0,2016
42,Pennsylvania,All,12791530.0,100.0,2019
