Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Michigan,26,35-39 years,35-39,231,797517,29
,1999,1999,Breast,26000,Michigan,26,40-44 years,40-44,536,807841,66.3
,1999,1999,Breast,26000,Michigan,26,45-49 years,45-49,679,721311,94.1
,1999,1999,Breast,26000,Michigan,26,50-54 years,50-54,797,608876,130.9
,1999,1999,Breast,26000,Michigan,26,55-59 years,55-59,792,474708,166.8
,1999,1999,Breast,26000,Michigan,26,60-64 years ,60-64,752,375136,200.5
,1999,1999,Breast,26000,Michigan,26,65-69 years,65-69,799,329896,242.2
,1999,1999,Breast,26000,Michigan,26,70-74 years,70-74,839,315575,265.9
,1999,1999,Breast,26000,Michigan,26,75-79 years,75-79,764,257831,296.3
,1999,1999,Breast,26000,Michigan,26,80-84 years,80-84,520,171488,303.2
,1999,1999,Breast,26000,Michigan,26,85+ years,85+,398,139784,284.7
,1999,1999,Breast,26000,Minnesota,27,30-34 years,30-34,46,355280,12.9
,1999,1999,Breast,26000,Minnesota,27,35-39 years,35-39,116,418658,27.7
,1999,1999,Breast,26000,Minnesota,27,40-44 years,40-44,225,404383,55.6
,1999,1999,Breast,26000,Minnesota,27,45-49 years,45-49,323,355713,90.8
,1999,1999,Breast,26000,Minnesota,27,50-54 years,50-54,384,287632,133.5
,1999,1999,Breast,26000,Minnesota,27,55-59 years,55-59,424,220470,192.3
,1999,1999,Breast,26000,Minnesota,27,60-64 years ,60-64,401,175359,228.7
,1999,1999,Breast,26000,Minnesota,27,65-69 years,65-69,329,152718,215.4
,1999,1999,Breast,26000,Minnesota,27,70-74 years,70-74,388,142717,271.9
,1999,1999,Breast,26000,Minnesota,27,75-79 years,75-79,348,122493,284.1
,1999,1999,Breast,26000,Minnesota,27,80-84 years,80-84,263,89554,293.7
,1999,1999,Breast,26000,Minnesota,27,85+ years,85+,251,84817,295.9
,1999,1999,Breast,26000,Missouri,29,25-29 years,25-29,16,365607,4.4
,1999,1999,Breast,26000,Missouri,29,30-34 years,30-34,47,378212,12.4
,1999,1999,Breast,26000,Missouri,29,35-39 years,35-39,137,449019,30.5
,1999,1999,Breast,26000,Missouri,29,40-44 years,40-44,253,437805,57.8
,1999,1999,Breast,26000,Missouri,29,45-49 years,45-49,365,386754,94.4
,1999,1999,Breast,26000,Missouri,29,50-54 years,50-54,453,334433,135.5
,1999,1999,Breast,26000,Missouri,29,55-59 years,55-59,470,272809,172.3
,1999,1999,Breast,26000,Missouri,29,60-64 years ,60-64,450,226460,198.7
