Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2005,2005,Cervix Uteri,27010,Maine,23,47,674104,7
,2005,2005,Cervix Uteri,27010,Maryland,24,244,2891761,8.4
,2005,2005,Cervix Uteri,27010,Massachusetts,25,211,3309010,6.4
,2005,2005,Cervix Uteri,27010,Michigan,26,383,5114320,7.5
,2005,2005,Cervix Uteri,27010,Minnesota,27,168,2579546,6.5
,2005,2005,Cervix Uteri,27010,Mississippi,28,144,1482601,9.7
,2005,2005,Cervix Uteri,27010,Missouri,29,251,2962870,8.5
,2005,2005,Cervix Uteri,27010,Montana,30,20,469780,4.3
,2005,2005,Cervix Uteri,27010,Nebraska,31,64,889468,7.2
,2005,2005,Cervix Uteri,27010,Nevada,32,123,1198846,10.3
,2005,2005,Cervix Uteri,27010,New Hampshire,33,51,657932,7.8
,2005,2005,Cervix Uteri,27010,New Jersey,34,411,4443545,9.2
,2005,2005,Cervix Uteri,27010,New Mexico,35,83,978520,8.5
,2005,2005,Cervix Uteri,27010,New York,36,961,9887467,9.7
,2005,2005,Cervix Uteri,27010,North Carolina,37,382,4457189,8.6
,2005,2005,Cervix Uteri,27010,North Dakota,38,18,321543,5.6
,2005,2005,Cervix Uteri,27010,Ohio,39,500,5876703,8.5
,2005,2005,Cervix Uteri,27010,Oklahoma,40,158,1796475,8.8
,2005,2005,Cervix Uteri,27010,Oregon,41,116,1823447,6.4
,2005,2005,Cervix Uteri,27010,Pennsylvania,42,536,6405053,8.4
,2005,2005,Cervix Uteri,27010,Rhode Island,44,48,552832,8.7
,2005,2005,Cervix Uteri,27010,South Carolina,45,177,2192345,8.1
,2005,2005,Cervix Uteri,27010,South Dakota,46,30,389021,7.7
,2005,2005,Cervix Uteri,27010,Tennessee,47,288,3068439,9.4
,2005,2005,Cervix Uteri,27010,Texas,48,1115,11467895,9.7
,2005,2005,Cervix Uteri,27010,Utah,49,67,1224741,5.5
,2005,2005,Cervix Uteri,27010,Vermont,50,23,315422,7.3
,2005,2005,Cervix Uteri,27010,Virginia,51,288,3863646,7.5
,2005,2005,Cervix Uteri,27010,Washington,53,225,3145396,7.2
,2005,2005,Cervix Uteri,27010,West Virginia,54,109,927690,11.7
,2005,2005,Cervix Uteri,27010,Wisconsin,55,186,2797061,6.6
,2005,2005,Cervix Uteri,27010,Wyoming,56,18,253726,7.1
,2006,2006,Cervix Uteri,27010,Alabama,1,200,2385480,8.4
,2006,2006,Cervix Uteri,27010,Alaska,2,32,325121,9.8
,2006,2006,Cervix Uteri,27010,Arizona,4,228,3026134,7.5
,2006,2006,Cervix Uteri,27010,Arkansas,5,140,1438428,9.7
,2006,2006,Cervix Uteri,27010,California,6,1476,18097471,8.2
,2006,2006,Cervix Uteri,27010,Colorado,8,182,2352960,7.7
,2006,2006,Cervix Uteri,27010,Connecticut,9,126,1807675,7
,2006,2006,Cervix Uteri,27010,Delaware,10,43,442766,9.7
,2006,2006,Cervix Uteri,27010,District of Columbia,11,25,301322,8.3
,2006,2006,Cervix Uteri,27010,Florida,12,953,9280080,10.3
,2006,2006,Cervix Uteri,27010,Georgia,13,357,4670606,7.6
,2006,2006,Cervix Uteri,27010,Hawaii,15,60,652351,9.2
,2006,2006,Cervix Uteri,27010,Idaho,16,55,732104,7.5
,2006,2006,Cervix Uteri,27010,Illinois,17,586,6440022,9.1
,2006,2006,Cervix Uteri,27010,Indiana,18,279,3218203,8.7
,2006,2006,Cervix Uteri,27010,Iowa,19,110,1511124,7.3
,2006,2006,Cervix Uteri,27010,Kansas,20,83,1394092,6
,2006,2006,Cervix Uteri,27010,Kentucky,21,202,2149096,9.4
,2006,2006,Cervix Uteri,27010,Louisiana,22,207,2204072,9.4
,2006,2006,Cervix Uteri,27010,Maine,23,49,676157,7.2
,2006,2006,Cervix Uteri,27010,Maryland,24,207,2907963,7.1
,2006,2006,Cervix Uteri,27010,Massachusetts,25,216,3311185,6.5
,2006,2006,Cervix Uteri,27010,Michigan,26,395,5106621,7.7
,2006,2006,Cervix Uteri,27010,Minnesota,27,155,2600951,6
,2006,2006,Cervix Uteri,27010,Mississippi,28,157,1496313,10.5
,2006,2006,Cervix Uteri,27010,Missouri,29,253,2987563,8.5
,2006,2006,Cervix Uteri,27010,Montana,30,31,475341,6.5
,2006,2006,Cervix Uteri,27010,Nebraska,31,52,894687,5.8
,2006,2006,Cervix Uteri,27010,Nevada,32,118,1243993,9.5
,2006,2006,Cervix Uteri,27010,New Hampshire,33,50,662773,7.5
,2006,2006,Cervix Uteri,27010,New Jersey,34,457,4448099,10.3
