income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Delaware,10,48,22,70,66.207717240751,51.2339892537116,81.1814452277905,68.3032283423675,45.5206489760608,91.0858077086741
"$25,000 to < $35,000",Delaware,10,77,23,100,81.313368959661,72.7212160784738,89.9055218408483,80.5728194120757,66.3297343653401,94.8159044588113
"$35,000 to < $50,000",Delaware,10,89,33,122,75.2849709956415,65.3783800487456,85.1915619425373,75.4353634543339,59.1225362977691,91.7481906108988
"$50,000 to < $75,000",Delaware,10,134,39,173,77.1234526237587,69.2123862001805,85.0345190473368,75.6360736210459,62.9132006460864,88.3589465960054
"$75,000 to < $100,000",Delaware,10,119,27,146,85.4297405498159,79.4548958414571,91.4045852581746,85.9303299752262,76.0726867292916,95.7879732211609
"$100,000 to < $200,000",Delaware,10,127,26,153,82.5915649249541,75.1394862312513,90.043643618657,82.5156254750203,70.7714307110575,94.259820238983
"$200,000 or more",Delaware,10,20,2,22,93.6571813641017,84.1288302861125,100,97.003262598501,90.2611402036924,100
"Don’t know/Not sure/Missing",Delaware,10,171,39,210,80.0042497358656,72.5927934092535,87.4157060624778,80.4317241191761,69.2215462142284,91.6419020241239
"Less than $15,000","District of Columbia",11,30,9,39,85.1248206690848,73.3332976691659,96.9163436690037,79.8640112234105,60.1230583654988,99.6049640813221
"$15,000 to < $25,000","District of Columbia",11,39,14,53,64.9282047401826,47.5426986500764,82.3137108302887,67.1228759533609,41.3635100337057,92.8822418730161
"$25,000 to < $35,000","District of Columbia",11,38,20,58,58.9609389118559,38.2795569387292,79.6423208849826,59.8158140671826,34.1382460263109,85.4933821080543
"$35,000 to < $50,000","District of Columbia",11,39,14,53,81.3413859993592,69.0322752197224,93.6504967789961,81.9240119114625,62.3492448117223,100
"$50,000 to < $75,000","District of Columbia",11,53,11,64,81.7716812063415,70.9624958072388,92.5808666054442,82.7698503358983,65.0575882805344,100
"$75,000 to < $100,000","District of Columbia",11,42,9,51,79.9816715803466,65.3540218211244,94.6093213395688,79.1015914977022,55.726034827998,100
"$100,000 to < $200,000","District of Columbia",11,125,32,157,81.4746862859786,74.0322213910905,88.9171511808667,81.6899326804838,70.2708230187564,93.1090423422112
"$200,000 or more","District of Columbia",11,64,11,75,87.0890959687959,78.3474248855065,95.8307670520853,82.2005567385672,63.9793812678983,100
"Don’t know/Not sure/Missing","District of Columbia",11,82,28,110,76.1285199739862,65.4988886663615,86.7581512816109,73.0272319504288,55.6843613200126,90.3701025808451
"Less than $15,000",Florida,12,121,65,186,65.5175140880256,57.93020005604,73.1048281200111,65.6256040819989,61.8017476145243,69.4494605494735
"$15,000 to < $25,000",Florida,12,233,99,332,61.6907366987512,49.7510825243376,73.6303908731647,60.825275474512,43.7725054138653,77.8780455351587
"$25,000 to < $35,000",Florida,12,261,96,357,73.9457691441087,64.2855411043752,83.6059971838421,70.8860916805666,60.565079192765,81.2071041683682
"$35,000 to < $50,000",Florida,12,276,91,367,78.3128894365317,70.6521383122672,85.9736405607961,78.1507195476368,71.2166211693197,85.0848179259539
"$50,000 to < $75,000",Florida,12,358,100,458,84.6659159686943,79.4028913539806,89.928940583408,84.2203339652093,77.1294625988173,91.3112053316013
"$75,000 to < $100,000",Florida,12,288,70,358,79.1336147432022,70.1738310813431,88.0933984050612,77.8922848701601,64.4798187013122,91.304751039008
"$100,000 to < $200,000",Florida,12,325,76,401,82.0164984764488,74.7827804418378,89.2502165110597,83.7921201362583,74.9108422989046,92.673397973612
"$200,000 or more",Florida,12,86,14,100,89.3483725392421,85.1048582111286,93.5918868673557,87.360424996002,83.7420228790706,90.9788271129334
"Don’t know/Not sure/Missing",Florida,12,475,145,620,80.6010972577114,75.1945903057806,86.0076042096421,79.7036006631679,71.7758726012263,87.6313287251096
"Less than $15,000",Georgia,13,100,60,160,63.1475754490956,53.8677671988011,72.4273836993901,64.7441641506876,52.8898775875053,76.5984507138698
"$15,000 to < $25,000",Georgia,13,172,80,252,65.5201895355034,57.4262029375859,73.6141761334209,64.9196774653741,55.9688687718901,73.870486158858
"$25,000 to < $35,000",Georgia,13,167,57,224,73.1649429508378,63.9315461906096,82.3983397110661,74.1296388256953,64.2944853431453,83.9647923082452
"$35,000 to < $50,000",Georgia,13,186,43,229,77.6257540591183,69.3901572547705,85.8613508634662,76.6318653318588,64.5863762158877,88.6773544478298
"$50,000 to < $75,000",Georgia,13,234,62,296,77.0707152202494,71.3416844327169,82.799746007782,76.4197420953975,68.0503578757355,84.7891263150595
"$75,000 to < $100,000",Georgia,13,168,40,208,77.5565226809497,67.1600600611913,87.9529853007081,79.4403591364934,68.0113849555936,90.8693333173932
"$100,000 to < $200,000",Georgia,13,258,47,305,86.9801869235001,82.465764518499,91.4946093285012,87.7202605177717,80.368854631353,95.0716664041903
"$200,000 or more",Georgia,13,66,9,75,88.6630357351161,82.9774633058678,94.3486081643644,88.5733244887331,85.3313813625697,91.8152676148966
"Don’t know/Not sure/Missing",Georgia,13,353,99,452,76.9601810956573,70.5122198565756,83.4081423347389,77.1284938566218,67.9010802460865,86.3559074671571
"Less than $15,000",Hawaii,15,77,38,115,73.6591816731268,63.9618035224072,83.3565598238465,70.8891735076394,52.545832832058,89.2325141832209
"$15,000 to < $25,000",Hawaii,15,112,53,165,78.468839258918,71.1465110297442,85.7911674880918,77.3826670214194,65.9708438111487,88.7944902316901
"$25,000 to < $35,000",Hawaii,15,123,39,162,70.9552090463901,59.627145846254,82.2832722465262,70.7855395110597,52.0932085040093,89.47787051811
"$35,000 to < $50,000",Hawaii,15,161,40,201,81.2810563223534,74.4335358516099,88.1285767930968,81.9445819888365,71.0031119236383,92.8860520540347
"$50,000 to < $75,000",Hawaii,15,228,65,293,77.3463722847355,70.3420102577066,84.3507343117643,77.1805070405945,65.0684324037215,89.2925816774675
"$75,000 to < $100,000",Hawaii,15,205,38,243,85.2424297891544,78.9941143449986,91.4907452333102,85.8781289886671,76.1267791293227,95.6294788480115
"$100,000 to < $200,000",Hawaii,15,283,59,342,78.901025697869,72.3544765953943,85.4475748003436,78.2696133055334,67.7525670465344,88.7866595645325
"$200,000 or more",Hawaii,15,57,16,73,81.057889246343,71.2815897341364,90.8341887585496,80.3422996159601,63.1955188957552,97.489080336165
"Don’t know/Not sure/Missing",Hawaii,15,169,39,208,75.5914533279371,65.4286941174394,85.7542125384348,74.0755774627882,57.0363317685612,91.1148231570152
