"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2003","2003","Colon and Rectum","21041-21052","Oklahoma","40",1917,3504892,54.7
,"2003","2003","Colon and Rectum","21041-21052","Oregon","41",1855,3547376,52.3
,"2003","2003","Colon and Rectum","21041-21052","Pennsylvania","42",8546,12374658,69.1
,"2003","2003","Colon and Rectum","21041-21052","Rhode Island","44",639,1071342,59.6
,"2003","2003","Colon and Rectum","21041-21052","South Carolina","45",2328,4150297,56.1
,"2003","2003","Colon and Rectum","21041-21052","South Dakota","46",481,763729,63.0
,"2003","2003","Colon and Rectum","21041-21052","Tennessee","47",2991,5847812,51.1
,"2003","2003","Colon and Rectum","21041-21052","Texas","48",9148,22030931,41.5
,"2003","2003","Colon and Rectum","21041-21052","Utah","49",742,2360137,31.4
,"2003","2003","Colon and Rectum","21041-21052","Vermont","50",337,617858,54.5
,"2003","2003","Colon and Rectum","21041-21052","Virginia","51",3576,7366977,48.5
,"2003","2003","Colon and Rectum","21041-21052","Washington","53",2836,6104115,46.5
,"2003","2003","Colon and Rectum","21041-21052","West Virginia","54",1371,1812295,75.6
,"2003","2003","Colon and Rectum","21041-21052","Wisconsin","55",3056,5479203,55.8
,"2003","2003","Colon and Rectum","21041-21052","Wyoming","56",239,503453,47.5
,"2003","2003","Colon and Rectum","21041-21052","Puerto Rico","72",Missing,Missing,Missing
,"2004","2004","Colon and Rectum","21041-21052","Alabama","01",2471,4530729,54.5
,"2004","2004","Colon and Rectum","21041-21052","Alaska","02",248,659286,37.6
,"2004","2004","Colon and Rectum","21041-21052","Arizona","04",2428,5652404,43.0
,"2004","2004","Colon and Rectum","21041-21052","Arkansas","05",1547,2749686,56.3
,"2004","2004","Colon and Rectum","21041-21052","California","06",14315,35574576,40.2
,"2004","2004","Colon and Rectum","21041-21052","Colorado","08",1900,4575013,41.5
,"2004","2004","Colon and Rectum","21041-21052","Connecticut","09",2147,3496094,61.4
,"2004","2004","Colon and Rectum","21041-21052","Delaware","10",454,830803,54.6
,"2004","2004","Colon and Rectum","21041-21052","District of Columbia","11",293,567754,51.6
,"2004","2004","Colon and Rectum","21041-21052","Florida","12",11278,17415318,64.8
,"2004","2004","Colon and Rectum","21041-21052","Georgia","13",3893,8769252,44.4
,"2004","2004","Colon and Rectum","21041-21052","Hawaii","15",739,1273569,58.0
,"2004","2004","Colon and Rectum","21041-21052","Idaho","16",587,1391802,42.2
,"2004","2004","Colon and Rectum","21041-21052","Illinois","17",7210,12589773,57.3
,"2004","2004","Colon and Rectum","21041-21052","Indiana","18",3403,6233007,54.6
,"2004","2004","Colon and Rectum","21041-21052","Iowa","19",1946,2953635,65.9
,"2004","2004","Colon and Rectum","21041-21052","Kansas","20",1474,2734373,53.9
,"2004","2004","Colon and Rectum","21041-21052","Kentucky","21",2549,4146101,61.5
,"2004","2004","Colon and Rectum","21041-21052","Louisiana","22",2398,4552238,52.7
,"2004","2004","Colon and Rectum","21041-21052","Maine","23",889,1313688,67.7
,"2004","2004","Colon and Rectum","21041-21052","Maryland","24",2636,5546935,47.5
,"2004","2004","Colon and Rectum","21041-21052","Massachusetts","25",3779,6412281,58.9
,"2004","2004","Colon and Rectum","21041-21052","Michigan","26",5255,10055315,52.3
,"2004","2004","Colon and Rectum","21041-21052","Minnesota","27",2541,5087713,49.9
,"2004","2004","Colon and Rectum","21041-21052","Mississippi","28",1623,2889010,56.2
,"2004","2004","Colon and Rectum","21041-21052","Missouri","29",3164,5747741,55.0
,"2004","2004","Colon and Rectum","21041-21052","Montana","30",482,930009,51.8
,"2004","2004","Colon and Rectum","21041-21052","Nebraska","31",1020,1749370,58.3
,"2004","2004","Colon and Rectum","21041-21052","Nevada","32",1098,2346222,46.8
,"2004","2004","Colon and Rectum","21041-21052","New Hampshire","33",685,1290121,53.1
,"2004","2004","Colon and Rectum","21041-21052","New Jersey","34",5063,8634561,58.6
,"2004","2004","Colon and Rectum","21041-21052","New Mexico","35",836,1903808,43.9
,"2004","2004","Colon and Rectum","21041-21052","New York","36",10834,19171567,56.5
,"2004","2004","Colon and Rectum","21041-21052","North Carolina","37",4196,8553152,49.1
,"2004","2004","Colon and Rectum","21041-21052","North Dakota","38",413,644705,64.1
,"2004","2004","Colon and Rectum","21041-21052","Ohio","39",6605,11452251,57.7
,"2004","2004","Colon and Rectum","21041-21052","Oklahoma","40",1887,3525233,53.5
,"2004","2004","Colon and Rectum","21041-21052","Oregon","41",1809,3569463,50.7
,"2004","2004","Colon and Rectum","21041-21052","Pennsylvania","42",8341,12410722,67.2
,"2004","2004","Colon and Rectum","21041-21052","Rhode Island","44",680,1074579,63.3
,"2004","2004","Colon and Rectum","21041-21052","South Carolina","45",2361,4210921,56.1
,"2004","2004","Colon and Rectum","21041-21052","South Dakota","46",439,770396,57.0
,"2004","2004","Colon and Rectum","21041-21052","Tennessee","47",3010,5910809,50.9
,"2004","2004","Colon and Rectum","21041-21052","Texas","48",9318,22394023,41.6
,"2004","2004","Colon and Rectum","21041-21052","Utah","49",689,2401580,28.7
,"2004","2004","Colon and Rectum","21041-21052","Vermont","50",313,619920,50.5
,"2004","2004","Colon and Rectum","21041-21052","Virginia","51",3608,7475575,48.3
,"2004","2004","Colon and Rectum","21041-21052","Washington","53",2803,6178645,45.4
,"2004","2004","Colon and Rectum","21041-21052","West Virginia","54",1320,1816438,72.7
,"2004","2004","Colon and Rectum","21041-21052","Wisconsin","55",2877,5514026,52.2
,"2004","2004","Colon and Rectum","21041-21052","Wyoming","56",244,509106,47.9
,"2004","2004","Colon and Rectum","21041-21052","Puerto Rico","72",Missing,Missing,Missing
,"2005","2005","Colon and Rectum","21041-21052","Alabama","01",2476,4565917,54.2
,"2005","2005","Colon and Rectum","21041-21052","Alaska","02",241,666946,36.1
,"2005","2005","Colon and Rectum","21041-21052","Arizona","04",2574,5839077,44.1
,"2005","2005","Colon and Rectum","21041-21052","Arkansas","05",1543,2781097,55.5
,"2005","2005","Colon and Rectum","21041-21052","California","06",14675,35827943,41.0
,"2005","2005","Colon and Rectum","21041-21052","Colorado","08",1829,4631888,39.5
,"2005","2005","Colon and Rectum","21041-21052","Connecticut","09",1992,3506956,56.8
,"2005","2005","Colon and Rectum","21041-21052","Delaware","10",491,845150,58.1
,"2005","2005","Colon and Rectum","21041-21052","District of Columbia","11",290,567136,51.1
,"2005","2005","Colon and Rectum","21041-21052","Florida","12",10784,17842038,60.4
,"2005","2005","Colon and Rectum","21041-21052","Georgia","13",3752,8925922,42.0
,"2005","2005","Colon and Rectum","21041-21052","Hawaii","15",668,1292729,51.7
,"2005","2005","Colon and Rectum","21041-21052","Idaho","16",605,1428241,42.4
,"2005","2005","Colon and Rectum","21041-21052","Illinois","17",6989,12609903,55.4
,"2005","2005","Colon and Rectum","21041-21052","Indiana","18",3481,6278616,55.4
,"2005","2005","Colon and Rectum","21041-21052","Iowa","19",1908,2964454,64.4
,"2005","2005","Colon and Rectum","21041-21052","Kansas","20",1399,2745299,51.0
,"2005","2005","Colon and Rectum","21041-21052","Kentucky","21",2531,4182742,60.5
,"2005","2005","Colon and Rectum","21041-21052","Louisiana","22",2375,4411396,53.8
,"2005","2005","Colon and Rectum","21041-21052","Maine","23",864,1318787,65.5
