age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_70_75,"New Jersey",34,547,106,653,79.4630412816205,74.3757768572609,84.55030570598,.,.,.
_45_49,"New Mexico",35,52,192,244,24.7939140495705,16.934266636372,32.653561462769,.,.,.
_50_54,"New Mexico",35,116,165,281,42.3437603701777,35.0529891783424,49.634531562013,.,.,.
_55_59,"New Mexico",35,249,146,395,61.3032463631524,54.9450866127915,67.6614061135133,.,.,.
_60_64,"New Mexico",35,284,136,420,66.6288052903936,60.4117404639675,72.8458701168197,.,.,.
_65_69,"New Mexico",35,361,134,495,71.9179299874963,66.3698510381265,77.466008936866,.,.,.
_70_75,"New Mexico",35,470,140,610,75.7349604866369,70.5397447961995,80.9301761770743,.,.,.
_45_49,"New York",36,310,654,964,33.1067620672581,29.0919861341174,37.1215380003987,.,.,.
_50_54,"New York",36,714,493,1207,56.6748709935006,52.5717546814236,60.7779873055777,.,.,.
_55_59,"New York",36,946,318,1264,75.8643603674447,72.4664561171798,79.2622646177095,.,.,.
_60_64,"New York",36,1213,349,1562,75.005758269535,71.6088371216981,78.4026794173719,.,.,.
_65_69,"New York",36,1443,275,1718,81.8279405743686,78.7871142041742,84.8687669445629,.,.,.
_70_75,"New York",36,1441,237,1678,84.7136802101441,81.9926605347342,87.434699885554,.,.,.
_45_49,"North Carolina",37,88,255,343,24.4625030856277,18.8968688321646,30.0281373390908,.,.,.
_50_54,"North Carolina",37,170,157,327,51.708845028497,44.8734130993543,58.5442769576396,.,.,.
_55_59,"North Carolina",37,303,87,390,76.6794379516364,71.1728148697106,82.1860610335622,.,.,.
_60_64,"North Carolina",37,297,75,372,81.0620089562054,75.6190081485257,86.5050097638851,.,.,.
_65_69,"North Carolina",37,317,58,375,83.3152144468491,78.3149014506372,88.315527443061,.,.,.
_70_75,"North Carolina",37,337,53,390,86.6091678135591,82.2545794536537,90.9637561734645,.,.,.
_45_49,"North Dakota",38,58,155,213,25.0759854034716,18.9783655969038,31.1736052100394,.,.,.
_50_54,"North Dakota",38,146,119,265,51.179445412309,44.5967153276986,57.7621754969195,.,.,.
_55_59,"North Dakota",38,222,73,295,75.3683481701499,69.8499641512158,80.8867321890841,.,.,.
_60_64,"North Dakota",38,315,95,410,76.5646032269149,71.924887605276,81.2043188485538,.,.,.
_65_69,"North Dakota",38,349,93,442,78.6674335691071,74.2849091668134,83.0499579714007,.,.,.
_70_75,"North Dakota",38,379,76,455,82.9247643365557,78.8642269551455,86.985301717966,.,.,.
_45_49,Ohio,39,312,670,982,30.0942837291773,26.3584031306898,33.8301643276647,.,.,.
_50_54,Ohio,39,734,523,1257,55.0830354527894,51.0821378602791,59.0839330452998,.,.,.
_55_59,Ohio,39,967,361,1328,72.9272736638809,69.4460407482086,76.4085065795532,.,.,.
_60_64,Ohio,39,1144,403,1547,74.2644056089289,71.1066020320534,77.4222091858044,.,.,.
_65_69,Ohio,39,1351,327,1678,82.2934275589609,79.6909305416991,84.8959245762228,.,.,.
_70_75,Ohio,39,1432,337,1769,80.7603914201878,78.0088692024569,83.5119136379188,.,.,.
_45_49,Oklahoma,40,106,269,375,26.5838139943975,21.5711827618662,31.5964452269288,.,.,.
