"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2006","2006","Prostate","28010","Alabama","01",3786,2243501,168.8
,"2006","2006","Prostate","28010","Alaska","02",362,350181,103.4
,"2006","2006","Prostate","28010","Arizona","04",4465,3003007,148.7
,"2006","2006","Prostate","28010","Arkansas","05",2349,1383333,169.8
,"2006","2006","Prostate","28010","California","06",22298,17923731,124.4
,"2006","2006","Prostate","28010","Colorado","08",3282,2367463,138.6
,"2006","2006","Prostate","28010","Connecticut","09",3107,1709785,181.7
,"2006","2006","Prostate","28010","Delaware","10",911,416502,218.7
,"2006","2006","Prostate","28010","District of Columbia","11",439,269359,163.0
,"2006","2006","Prostate","28010","Florida","12",16183,8886910,182.1
,"2006","2006","Prostate","28010","Georgia","13",6494,4485207,144.8
,"2006","2006","Prostate","28010","Hawaii","15",916,657380,139.3
,"2006","2006","Prostate","28010","Idaho","16",1207,736565,163.9
,"2006","2006","Prostate","28010","Illinois","17",9126,6203933,147.1
,"2006","2006","Prostate","28010","Indiana","18",4250,3114466,136.5
,"2006","2006","Prostate","28010","Iowa","19",2302,1471520,156.4
,"2006","2006","Prostate","28010","Kansas","20",2051,1368839,149.8
,"2006","2006","Prostate","28010","Kentucky","21",3138,2070143,151.6
,"2006","2006","Prostate","28010","Louisiana","22",3296,2098593,157.1
,"2006","2006","Prostate","28010","Maine","23",1298,647462,200.5
,"2006","2006","Prostate","28010","Maryland","24",4204,2719404,154.6
,"2006","2006","Prostate","28010","Massachusetts","25",5237,3098899,169.0
,"2006","2006","Prostate","28010","Michigan","26",8481,4929460,172.0
,"2006","2006","Prostate","28010","Minnesota","27",4589,2562604,179.1
,"2006","2006","Prostate","28010","Mississippi","28",2440,1408665,173.2
,"2006","2006","Prostate","28010","Missouri","29",4086,2855141,143.1
,"2006","2006","Prostate","28010","Montana","30",949,477351,198.8
,"2006","2006","Prostate","28010","Nebraska","31",1378,878006,156.9
,"2006","2006","Prostate","28010","Nevada","32",1718,1278665,134.4
,"2006","2006","Prostate","28010","New Hampshire","33",1098,645616,170.1
,"2006","2006","Prostate","28010","New Jersey","34",7584,4213580,180.0
,"2006","2006","Prostate","28010","New Mexico","35",1456,968168,150.4
,"2006","2006","Prostate","28010","New York","36",16143,9233230,174.8
,"2006","2006","Prostate","28010","North Carolina","37",6988,4354118,160.5
,"2006","2006","Prostate","28010","North Dakota","38",626,326839,191.5
,"2006","2006","Prostate","28010","Ohio","39",8635,5598146,154.2
,"2006","2006","Prostate","28010","Oklahoma","40",2746,1775397,154.7
