education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Graduated High School",Texas,48,27,109,136,17.5433176788524,9.70103293015144,25.3856024275534,.,.,.
"Attended College or Technical School",Texas,48,35,132,167,.,.,.,.,.,.
"Graduated from College or Technical
School",Texas,48,20,71,91,21.5841861002208,15.6468007542357,27.5215714462058,24.4833877798288,11.9777622150892,36.9890133445685
"Don’t know/Not sure/Missing",Texas,48,0,1,1,.,.,.,.,.,.
"Did not graduate High School",Utah,49,2,8,10,22.1776110118952,3.92188124815062,40.4333407756399,.,.,.
"Graduated High School",Utah,49,12,35,47,.,.,.,.,.,.
"Attended College or Technical School",Utah,49,13,44,57,19.0515268403479,7.96609110052802,30.1369625801679,.,.,.
"Graduated from College or Technical
School",Utah,49,7,15,22,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Utah,49,0,1,1,.,.,.,.,.,.
"Did not graduate High School",Vermont,50,6,20,26,44.7312118806095,33.3802246214936,56.0821991397253,34.3290413414786,33.2467846593836,35.4112980235735
"Graduated High School",Vermont,50,44,74,118,46.0845871514124,34.5672470597299,57.6019272430949,44.8382523655515,33.2546836038182,56.4218211272847
"Attended College or Technical School",Vermont,50,27,48,75,29.8484151191654,18.5279469589271,41.1688832794036,26.6807880315185,12.1534150245353,41.2081610385017
"Graduated from College or Technical
School",Vermont,50,20,35,55,29.3757567714128,12.6893167061307,46.0621968366949,.,.,.
"Don’t know/Not sure/Missing",Vermont,50,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Virginia,51,14,37,51,27.1970120388905,19.3837439842102,35.0102800935708,26.1753816570524,17.8395066412465,34.5112566728583
"Graduated High School",Virginia,51,40,84,124,29.3033567791672,20.2923294221649,38.3143841361696,27.5614746691057,14.4424390910659,40.6805102471455
"Attended College or Technical School",Virginia,51,43,74,117,28.9847791549039,18.2449393856287,39.724618924179,32.6784218148361,21.3317460772768,44.0250975523954
"Graduated from College or Technical
School",Virginia,51,26,62,88,30.0612883618557,14.858145162643,45.2644315610684,27.9320821164609,18.1862437628801,37.6779204700418
"Don’t know/Not sure/Missing",Virginia,51,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Washington,53,17,49,66,15.5496885926222,9.08407292279311,22.0153042624512,18.4755119042883,10.3950731055672,26.5559507030094
"Graduated High School",Washington,53,69,178,247,25.8190265537055,19.4478626154455,32.1901904919654,23.2651209583978,14.541620786079,31.9886211307165
"Attended College or Technical School",Washington,53,78,196,274,28.955742972544,22.9020905821986,35.0093953628893,26.7989228454926,17.2342752204688,36.3635704705164
"Graduated from College or Technical
School",Washington,53,44,102,146,36.7413594130535,26.7748432053091,46.7078756207979,35.0720651295229,24.054666906117,46.0894633529287
"Don’t know/Not sure/Missing",Washington,53,0,1,1,.,.,.,.,.,.
"Did not graduate High School","West Virginia",54,13,39,52,22.7951963618962,9.44677099383572,36.1436217299568,.,.,.
"Graduated High School","West Virginia",54,33,95,128,23.5095075279863,15.6883582392405,31.3306568167321,26.9205622452382,13.8009010101948,40.0402234802815
"Attended College or Technical School","West Virginia",54,23,74,97,22.7825384698297,13.7278938740094,31.8371830656501,.,.,.
"Graduated from College or Technical
School","West Virginia",54,12,34,46,19.9733022301059,8.43057909179363,31.5160253684181,.,.,.
"Don’t know/Not sure/Missing","West Virginia",54,1,0,1,.,.,.,.,.,.
"Did not graduate High School",Wisconsin,55,9,23,32,27.7642069359143,12.0350115951635,43.493402276665,27.790275108173,24.7117428855656,30.8688073307804
"Graduated High School",Wisconsin,55,70,117,187,37.8376298954311,29.4428841222452,46.2323756686171,36.330935448051,26.0430819860646,46.6187889100374
"Attended College or Technical School",Wisconsin,55,59,93,152,40.8664944582718,31.7456601514503,49.9873287650934,36.6525928376125,26.8789719202019,46.4262137550231
