Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2003,2003,Breast,26000,Georgia,13,Female,F,1104,4394952,25.1
,2003,2003,Breast,26000,Hawaii,15,Female,F,122,623753,19.6
,2003,2003,Breast,26000,Idaho,16,Female,F,173,679877,25.4
,2003,2003,Breast,26000,Illinois,17,Female,F,1872,6402859,29.2
,2003,2003,Breast,26000,Indiana,18,Female,F,943,3152366,29.9
,2003,2003,Breast,26000,Iowa,19,Female,F,452,1493907,30.3
,2003,2003,Breast,26000,Kansas,20,Female,F,431,1377415,31.3
,2003,2003,Breast,26000,Kentucky,21,Female,F,599,2102308,28.5
,2003,2003,Breast,26000,Louisiana,22,Female,F,754,2327153,32.4
,2003,2003,Breast,26000,Maine,23,Female,F,231,668680,34.5
,2003,2003,Breast,26000,Maryland,24,Female,F,820,2843847,28.8
,2003,2003,Breast,26000,Massachusetts,25,Female,F,995,3320817,30
,2003,2003,Breast,26000,Michigan,26,Female,F,1439,5110521,28.2
,2003,2003,Breast,26000,Minnesota,27,Female,F,640,2546999,25.1
,2003,2003,Breast,26000,Mississippi,28,Female,F,425,1479611,28.7
,2003,2003,Breast,26000,Missouri,29,Female,F,923,2926556,31.5
,2003,2003,Breast,26000,Montana,30,Female,F,117,460116,25.4
,2003,2003,Breast,26000,Nebraska,31,Female,F,244,879362,27.7
,2003,2003,Breast,26000,Nevada,32,Female,F,296,1108135,26.7
,2003,2003,Breast,26000,New Hampshire,33,Female,F,180,648513,27.8
,2003,2003,Breast,26000,New Jersey,34,Female,F,1506,4421964,34.1
,2003,2003,Breast,26000,New Mexico,35,Female,F,228,952303,23.9
,2003,2003,Breast,26000,New York,36,Female,F,3015,9917810,30.4
,2003,2003,Breast,26000,New York,36,Male,M,26,9258129,0.3
,2003,2003,Breast,26000,North Carolina,37,Female,F,1186,4313901,27.5
,2003,2003,Breast,26000,North Dakota,38,Female,F,93,318896,29.2
,2003,2003,Breast,26000,Ohio,39,Female,F,1929,5868535,32.9
,2003,2003,Breast,26000,Ohio,39,Male,M,18,5566253,0.3
,2003,2003,Breast,26000,Oklahoma,40,Female,F,541,1777723,30.4
,2003,2003,Breast,26000,Oregon,41,Female,F,548,1788805,30.6
,2003,2003,Breast,26000,Pennsylvania,42,Female,F,2291,6377894,35.9
,2003,2003,Breast,26000,Pennsylvania,42,Male,M,24,5996764,0.4
,2003,2003,Breast,26000,Rhode Island,44,Female,F,169,555590,30.4
,2003,2003,Breast,26000,South Carolina,45,Female,F,588,2133967,27.6
,2003,2003,Breast,26000,South Dakota,46,Female,F,121,383633,31.5
,2003,2003,Breast,26000,Tennessee,47,Female,F,934,3000983,31.1
,2003,2003,Breast,26000,Texas,48,Female,F,2554,11095953,23
,2003,2003,Breast,26000,Texas,48,Male,M,17,10934978,0.2
,2003,2003,Breast,26000,Utah,49,Female,F,222,1175867,18.9
,2003,2003,Breast,26000,Vermont,50,Female,F,98,314206,31.2
,2003,2003,Breast,26000,Virginia,51,Female,F,1087,3757780,28.9
,2003,2003,Breast,26000,Washington,53,Female,F,788,3065739,25.7
,2003,2003,Breast,26000,West Virginia,54,Female,F,306,925835,33.1
,2003,2003,Breast,26000,Wisconsin,55,Female,F,769,2766901,27.8
,2003,2003,Breast,26000,Wyoming,56,Female,F,66,249128,26.5
,2004,2004,Breast,26000,Alabama,01,Female,F,651,2337857,27.8
,2004,2004,Breast,26000,Alaska,02,Female,F,45,317807,14.2
,2004,2004,Breast,26000,Arizona,04,Female,F,676,2835606,23.8
,2004,2004,Breast,26000,Arkansas,05,Female,F,418,1403048,29.8
,2004,2004,Breast,26000,California,06,Female,F,4202,17871415,23.5
,2004,2004,Breast,26000,California,06,Male,M,28,17703161,0.2
,2004,2004,Breast,26000,Colorado,08,Female,F,509,2274511,22.4
,2004,2004,Breast,26000,Connecticut,09,Female,F,553,1798078,30.8
,2004,2004,Breast,26000,Delaware,10,Female,F,131,427320,30.7
,2004,2004,Breast,26000,District of Columbia,11,Female,F,90,300284,30
,2004,2004,Breast,26000,Florida,12,Female,F,2754,8902447,30.9
,2004,2004,Breast,26000,Florida,12,Male,M,31,8512871,0.4
,2004,2004,Breast,26000,Georgia,13,Female,F,1131,4463524,25.3
,2004,2004,Breast,26000,Hawaii,15,Female,F,118,636864,18.5
,2004,2004,Breast,26000,Idaho,16,Female,F,160,693186,23.1
,2004,2004,Breast,26000,Illinois,17,Female,F,1830,6414209,28.5
,2004,2004,Breast,26000,Illinois,17,Male,M,21,6175564,0.3
,2004,2004,Breast,26000,Indiana,18,Female,F,864,3168952,27.3
,2004,2004,Breast,26000,Iowa,19,Female,F,436,1498888,29.1
,2004,2004,Breast,26000,Kansas,20,Female,F,366,1382396,26.5
,2004,2004,Breast,26000,Kentucky,21,Female,F,587,2112051,27.8
,2004,2004,Breast,26000,Louisiana,22,Female,F,685,2338753,29.3
,2004,2004,Breast,26000,Maine,23,Female,F,185,671862,27.5
,2004,2004,Breast,26000,Maryland,24,Female,F,847,2870043,29.5
,2004,2004,Breast,26000,Massachusetts,25,Female,F,972,3314634,29.3
,2004,2004,Breast,26000,Massachusetts,25,Male,M,17,3097647,0.5
,2004,2004,Breast,26000,Michigan,26,Female,F,1413,5117929,27.6
,2004,2004,Breast,26000,Minnesota,27,Female,F,656,2564037,25.6
,2004,2004,Breast,26000,Mississippi,28,Female,F,445,1490115,29.9
,2004,2004,Breast,26000,Missouri,29,Female,F,898,2942685,30.5
,2004,2004,Breast,26000,Montana,30,Female,F,138,465000,29.7
,2004,2004,Breast,26000,Nebraska,31,Female,F,248,883984,28.1
